Time,MLRPUA
s,g/m2/s
0,0.00
30,1.09
60,5.06
90,10.33
120,12.33
150,15.82
180,20.33
210,24.36
240,26.88
270,27.76
300,29.29
330,30.86
360,31.10
390,32.79
420,34.35
450,33.57
480,33.22
510,34.06
540,34.08
570,32.87
600,31.96
630,31.91
660,31.54
690,30.87
720,31.26
750,30.98
780,30.43
810,30.64
840,31.15
870,30.81
900,31.62
930,31.83
960,32.92
990,36.79
1020,38.79
1050,38.56
1080,37.86
1110,0.00
