Time,T05,T10,T15,T20,T25,T30,T35,T40,T45
s,C,C,C,C,C,C,C,C,C
0,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.6,17.5
10,17.7,17.6,17.6,17.6,17.7,17.7,17.8,18.1,27.7
20,17.8,17.7,17.8,17.8,17.9,18,18.2,18.8,39.7
30,17.9,17.9,17.9,17.9,18.1,18.2,18.6,20.8,49.3
40,18,18,18,18.1,18.3,18.4,19.2,23.6,57.4
50,18.1,18.1,18.1,18.2,18.5,18.8,20.2,26.8,65.9
60,18.2,18.2,18.2,18.4,18.8,19.3,21.6,30.8,71.6
70,18.3,18.3,18.3,18.6,19.1,19.9,23.3,34.8,76.1
80,18.5,18.4,18.4,18.8,19.4,20.6,25,38.5,79.3
90,18.6,18.5,18.6,19,19.8,21.4,26.9,41.7,81
100,18.6,18.7,18.8,19.3,20.3,22.5,28.9,45.4,82.9
110,18.8,18.8,19,19.6,20.9,23.6,31,48.5,85
120,18.9,19,19.3,20,21.6,24.7,32.9,51.5,85.8
130,19.1,19.1,19.5,20.4,22.3,25.8,34.8,54.3,86.2
140,19.2,19.4,19.8,20.9,23.1,27.1,36.9,57.1,86.1
150,19.4,19.6,20.1,21.4,23.8,28.3,38.8,59.6,86.6
160,19.5,19.8,20.5,22,24.6,29.5,40.6,62,86.6
170,19.7,20.1,20.9,22.6,25.5,30.9,42.6,64.6,86.8
180,19.9,20.4,21.3,23.2,26.5,32.2,44.5,66.9,87.1
190,20.1,20.7,21.7,23.8,27.4,33.5,46.3,69.1,87.4
200,20.4,21.1,22.2,24.5,28.3,34.8,48,71.2,87.6
210,20.6,21.4,22.7,25.2,29.3,36.2,49.9,73.6,87.8
220,20.9,21.8,23.2,25.9,30.3,37.5,51.6,75.8,87.8
230,21.1,22.2,23.7,26.6,31.3,38.8,53.3,77.9,92.1
240,21.4,22.6,24.2,27.3,32.2,40.1,54.9,80,102.6
250,21.8,23,24.8,28.1,33.3,41.4,56.6,81.8,103.6
260,22.1,23.4,25.3,28.8,34.2,42.6,58.1,83.8,104.4
270,22.4,23.9,25.9,29.6,35.3,43.9,59.7,86,104.9
280,22.8,24.4,26.5,30.5,36.3,45.3,61.4,88.2,105.6
290,23.2,24.9,27.2,31.3,37.4,46.6,63.1,90.3,106.5
300,23.5,25.4,27.8,32.1,38.4,47.8,64.6,91.8,106.5
310,23.9,25.9,28.4,32.9,39.4,49,66.1,92.9,107.2
320,24.4,26.4,29.1,33.7,40.5,50.3,67.7,94.3,108.4
330,24.8,27,29.7,34.6,41.5,51.6,69.4,95.1,109
340,25.3,27.6,30.5,35.5,42.6,52.9,71.2,96.1,109.3
350,25.7,28.1,31.2,36.4,43.7,54.2,73,96.5,109.7
360,26.2,28.7,31.9,37.3,44.9,55.6,74.8,95.3,110.6
370,26.7,29.3,32.6,38.2,46,56.9,76.7,90.8,110.5
380,27.2,29.9,33.4,39.1,47,58.2,78.5,89.9,111.3
390,27.7,30.6,34.1,40.1,48.1,59.5,80.3,89.7,110.9
400,28.2,31.2,34.9,41,49.2,60.8,82,89.6,111.3
410,28.7,31.8,35.6,41.8,50.2,62,83.8,91.7,111.9
420,29.2,32.4,36.3,42.8,51.3,63.3,85.9,101.5,112.2
430,29.8,33.1,37.1,43.7,52.4,64.6,88,102.9,113.2
440,30.3,33.7,37.8,44.5,53.4,65.9,90.2,103.2,113.5
450,30.9,34.4,38.6,45.5,54.5,67.2,91.6,103.6,113.5
460,31.4,35.1,39.4,46.4,55.5,68.5,93.3,104.1,114
470,32,35.7,40.1,47.3,56.6,69.7,94.4,104.1,114.3
480,32.6,36.4,40.9,48.1,57.6,70.9,95.3,105,115.3
490,33.1,37,41.6,49,58.5,72.1,95.8,105.1,115.4
500,33.7,37.7,42.4,49.9,59.6,73.4,96.5,105.5,115.3
510,34.3,38.4,43.1,50.8,60.7,74.7,97,106.5,116
520,34.8,39,43.9,51.6,61.6,75.9,97.7,106.8,116.6
530,35.4,39.7,44.6,52.4,62.6,77.1,97,107,116.9
540,36,40.3,45.4,53.3,63.6,78.5,93,107.8,117.9
550,36.6,41,46.1,54.2,64.6,79.8,89.8,108.1,117.9
560,37.1,41.6,46.8,55,65.5,81,89.4,108.4,118.3
