Time,MLRPUA
s,g/m2/s
0,0.00
30,0.42
60,1.76
90,6.00
120,9.65
150,10.57
180,10.95
210,11.27
240,11.63
270,11.80
300,12.04
330,12.38
360,12.22
390,12.55
420,12.89
450,12.86
480,13.12
510,13.15
540,13.06
570,13.23
600,13.16
630,13.51
660,13.61
690,13.48
720,13.97
750,14.55
780,14.51
810,14.45
840,14.37
870,14.40
900,14.97
930,15.62
960,15.26
990,15.13
1020,15.38
1050,15.32
1080,15.62
1110,15.77
1140,15.85
1170,15.77
1200,15.71
1230,16.17
1260,16.32
1290,16.44
1320,16.82
1350,16.66
1380,16.15
1410,15.69
1440,15.68
1470,15.86
1500,16.14
1530,16.16
1560,16.07
1590,16.52
1620,16.72
1650,16.53
1680,16.90
1710,17.02
1740,16.64
1770,17.36
1800,17.28
1830,16.98
1860,16.82
1890,17.11
1920,17.54
1950,17.25
1980,16.60
2010,16.81
2040,16.96
2070,17.46
2100,18.01
2130,17.48
2160,16.66
2190,16.63
2220,17.03
2250,16.58
2280,16.43
2310,17.06
2340,17.00
2370,0.00
