Time,T05,T10,T15,T20,T25,T30,T35,T40,T45
s,C,C,C,C,C,C,C,C,C
0,16.8,16.9,16.9,16.9,16.9,16.9,17,16.9,18.8
10,16.9,16.9,16.8,16.8,16.9,16.9,16.9,17,44.4
20,16.9,16.9,16.8,16.9,16.9,16.9,17,17.9,51.7
30,16.8,16.9,16.9,16.9,16.9,16.9,17.1,20.7,54.8
40,16.9,16.9,16.9,16.9,16.9,16.9,17.2,23.5,55.8
50,16.9,16.9,16.9,16.9,16.9,17,17.7,26.5,57
60,17,17,16.9,17,17,17.1,18.4,30.1,57.5
70,17,17,17,17,17,17.4,19.4,33.5,58
80,17.1,17.1,17.1,17,17.1,17.7,20.4,37.3,58.2
90,17,17.1,17.1,17,17.2,18.3,21.9,39.4,58.7
100,17,17.1,17.1,17.1,17.5,18.9,23.1,41.5,58.8
110,17.1,17.1,17.1,17.2,17.8,19.6,24.5,43.3,59.3
120,17.3,17.2,17.2,17.3,18.2,20.2,25.6,45,59.5
130,17.2,17.2,17.2,17.5,18.5,20.8,26.7,46.5,59.5
140,17.2,17.2,17.3,17.7,18.9,21.6,28,48.6,59.2
150,17.2,17.2,17.3,17.9,19.3,22.2,29.2,49.8,59.7
160,17.2,17.3,17.5,18.1,19.6,22.9,30.2,51.4,60.2
170,17.3,17.4,17.6,18.3,19.9,23.5,31.5,52.5,60.1
180,17.4,17.5,17.7,18.5,20.3,24.2,32.7,53.8,59.9
190,17.4,17.6,17.8,18.7,20.7,24.8,33.8,54.6,59.6
200,17.5,17.6,18,19,21.1,25.6,34.8,55.7,60.2
210,17.6,17.7,18.1,19.1,21.5,26.3,35.7,56.1,59.8
220,17.7,17.7,18.2,19.3,21.9,26.9,37.2,56.3,119.9
230,17.7,17.8,18.4,19.5,22.4,27.5,38.1,56.6,177.5
240,17.8,17.9,18.5,19.8,22.8,28.4,39.1,57.5,241.3
250,17.9,18,18.6,20.1,23.3,29.1,40.1,57.9,211
260,17.9,18.1,18.8,20.3,23.7,29.7,41.7,58.1,235
270,18,18.2,18.9,20.6,24.2,30.6,42.9,58.4,237.5
