Test,Particle Diameter 1 um (m),Air Velocity 1 um (m/s),Friction Velocity 1 um (m/s),Ceiling Deposition Velocity 1 um (m/s),Wall Deposition Velocity 1 um (m/s),Floor Deposition Velocity 1 um (m/s),Dimensionless Ceiling Deposition Velocity 1 um (-),Dimensionless Wall Deposition Velocity 1 um (-),Dimensionless Floor Deposition Velocity 1 um (-),Test,Particle Diameter 3 um (m),Air Velocity 3 um (m/s),Friction Velocity 3 um (m/s),Ceiling Deposition Velocity 3 um (m/s),Wall Deposition Velocity 3 um (m/s),Floor Deposition Velocity 3 um (m/s),Dimensionless Ceiling Deposition Velocity 3 um (-),Dimensionless Wall Deposition Velocity 3 um (-),Dimensionless Floor Deposition Velocity 3 um (-),Test,Particle Diameter 5 um (m),Air Velocity 5 um (m/s),Friction Velocity 5 um (m/s),Ceiling Deposition Velocity 5 um (m/s),Wall Deposition Velocity 5 um (m/s),Floor Deposition Velocity 5 um (m/s),Dimensionless Ceiling Deposition Velocity 5 um (-),Dimensionless Wall Deposition Velocity 5 um (-),Dimensionless Floor Deposition Velocity 5 um (-),Test,Particle Diameter 9 um (m),Air Velocity 9 um (m/s),Friction Velocity 9 um (m/s),Ceiling Deposition Velocity 9 um (m/s),Wall Deposition Velocity 9 um (m/s),Floor Deposition Velocity 9 um (m/s),Dimensionless Ceiling Deposition Velocity 9 um (-),Dimensionless Wall Deposition Velocity 9 um (-),Dimensionless Floor Deposition Velocity 9 um (-),Test,Particle Diameter 16 um (m),Air Velocity 16 um (m/s),Friction Velocity 16 um (m/s),Ceiling Deposition Velocity 16 um (m/s),Wall Deposition Velocity 16 um (m/s),Floor Deposition Velocity 16 um (m/s),Dimensionless Ceiling Deposition Velocity 16 um (-),Dimensionless Wall Deposition Velocity 16 um (-),Dimensionless Floor Deposition Velocity 16 um (-)
1,1.00E-06,2.2,0.12,3.36E-07,1.15E-06,4.20E-05,2.80E-06,9.60E-06,3.50E-04,2,2.80E-06,2.2,0.12,3.00E-06,7.44E-06,3.24E-04,2.50E-05,6.20E-05,2.70E-03,3,5.20E-06,2.1,0.12,3.60E-06,1.92E-05,1.32E-03,3.00E-05,1.60E-04,1.10E-02,4,9.10E-06,2.2,0.13,1.69E-06,1.00E-04,3.25E-03,1.30E-05,7.70E-04,2.50E-02,5,1.60E-05,2.2,0.12,4.68E-06,2.40E-04,8.76E-03,3.90E-05,2.00E-03,7.30E-02
6,1.00E-06,5.3,0.28,1.18E-06,6.16E-06,6.16E-05,4.20E-06,2.20E-05,2.20E-04,8,3.10E-06,5.2,0.26,3.38E-06,1.27E-05,3.90E-04,1.30E-05,4.90E-05,1.50E-03,9,5.20E-06,5.4,0.27,1.32E-05,6.75E-05,2.30E-03,4.90E-05,2.50E-04,8.50E-03,10,9.80E-06,5.3,0.28,8.68E-06,3.08E-04,5.88E-03,3.10E-05,1.10E-03,2.10E-02,11,1.60E-05,5.3,0.28,4.48E-05,3.36E-03,2.07E-02,1.60E-04,1.20E-02,7.40E-02
7,1.00E-06,5.2,0.26,1.40E-06,5.98E-06,5.20E-05,5.40E-06,2.30E-05,2.00E-04,13,3.10E-06,9,0.42,8.82E-06,4.62E-05,5.04E-04,2.10E-05,1.10E-04,1.20E-03,14,5.40E-06,8.8,0.44,5.72E-05,6.16E-04,5.72E-03,1.30E-04,1.40E-03,1.30E-02,15,8.70E-06,9.2,0.46,3.08E-04,1.75E-03,1.24E-02,6.70E-04,3.80E-03,2.70E-02,16,1.50E-05,9.1,0.45,9.90E-04,9.45E-03,3.74E-02,2.20E-03,2.10E-02,8.30E-02
12,1.00E-06,9,0.45,9.45E-06,1.17E-05,8.10E-05,2.10E-05,2.60E-05,1.80E-04,18,3.00E-06,2.2,0.16,2.24E-04,1.92E-04,3.52E-04,1.40E-03,1.20E-03,2.20E-03,19,5.30E-06,2.2,0.16,4.00E-04,5.60E-04,1.17E-03,2.50E-03,3.50E-03,7.30E-03,20,8.40E-06,2.2,0.16,7.04E-04,1.07E-03,2.88E-03,4.40E-03,6.70E-03,1.80E-02,21,1.30E-05,2.2,0.16,9.12E-04,2.40E-03,8.96E-03,5.70E-03,1.50E-02,5.60E-02
17,1.00E-06,2.2,0.16,7.20E-05,6.72E-05,9.12E-05,4.50E-04,4.20E-04,5.70E-04,23,2.90E-06,5.2,0.37,2.44E-03,2.22E-03,2.89E-03,6.60E-03,6.00E-03,7.80E-03,24,4.90E-06,5.2,0.37,8.51E-03,6.29E-03,8.88E-03,2.30E-02,1.70E-02,2.40E-02,25,8.20E-06,5.3,0.38,1.29E-02,1.52E-02,1.94E-02,3.40E-02,4.00E-02,5.10E-02,26,1.30E-05,5.3,0.38,1.71E-02,1.90E-02,2.66E-02,4.50E-02,5.00E-02,7.00E-02
22,1.00E-06,5.3,0.37,4.44E-04,3.70E-04,5.18E-04,1.20E-03,1.00E-03,1.40E-03,28,2.80E-06,8.7,0.62,8.68E-03,8.68E-03,9.30E-03,1.40E-02,1.40E-02,1.50E-02,29,5.00E-06,8.9,0.62,1.98E-02,1.92E-02,2.29E-02,3.20E-02,3.10E-02,3.70E-02,30,8.40E-06,8.9,0.64,3.01E-02,3.26E-02,3.97E-02,4.70E-02,5.10E-02,6.20E-02,31,1.30E-05,8.9,0.64,3.46E-02,3.65E-02,4.80E-02,5.40E-02,5.70E-02,7.50E-02
27,1.00E-06,8.9,0.62,1.49E-03,1.12E-03,1.55E-03,2.40E-03,1.80E-03,2.50E-03,2,2.80E-06,2.2,0.12,2.28E-06,9.00E-06,3.24E-04,1.90E-05,7.50E-05,2.70E-03,3,5.20E-06,2.1,0.12,6.60E-06,5.40E-05,1.32E-03,5.50E-05,4.50E-04,1.10E-02,4,9.10E-06,2.2,0.13,1.95E-05,9.62E-05,4.03E-03,1.50E-04,7.40E-04,3.10E-02,5,1.60E-05,2.2,0.12,1.68E-05,1.80E-04,8.40E-03,1.40E-04,1.50E-03,7.00E-02
1,1.00E-06,2.2,0.12,2.40E-07,1.56E-06,4.32E-05,2.00E-06,1.30E-05,3.60E-04,8,3.10E-06,5.2,0.26,7.02E-06,1.33E-05,3.90E-04,2.70E-05,5.10E-05,1.50E-03,9,5.20E-06,5.4,0.27,1.24E-05,1.22E-04,2.13E-03,4.60E-05,4.50E-04,7.90E-03,10,9.80E-06,5.3,0.28,2.72E-05,2.49E-04,4.76E-03,9.70E-05,8.90E-04,1.70E-02,11,1.60E-05,5.3,0.28,2.07E-04,5.04E-03,1.93E-02,7.40E-04,1.80E-02,6.90E-02
6,1.00E-06,5.3,0.28,1.32E-06,6.44E-06,5.60E-05,4.70E-06,2.30E-05,2.00E-04,13,3.10E-06,9,0.42,1.55E-05,5.04E-05,4.62E-04,3.70E-05,1.20E-04,1.10E-03,14,5.40E-06,8.8,0.44,7.48E-05,6.16E-04,5.28E-03,1.70E-04,1.40E-03,1.20E-02,15,8.70E-06,9.2,0.46,5.52E-04,1.52E-03,1.15E-02,1.20E-03,3.30E-03,2.50E-02,16,1.50E-05,9.1,0.45,1.62E-03,1.22E-02,3.47E-02,3.60E-03,2.70E-02,7.70E-02
7,1.00E-06,5.2,0.26,1.46E-06,7.02E-06,5.20E-05,5.60E-06,2.70E-05,2.00E-04,18,3.00E-06,2.2,0.16,1.92E-04,1.60E-04,4.64E-04,1.20E-03,1.00E-03,2.90E-03,19,5.30E-06,2.2,0.16,4.64E-04,5.28E-04,1.14E-03,2.90E-03,3.30E-03,7.10E-03,20,8.40E-06,2.2,0.16,5.76E-04,6.40E-04,2.40E-03,3.60E-03,4.00E-03,1.50E-02,21,1.30E-05,2.2,0.16,8.32E-04,2.08E-03,7.52E-03,5.20E-03,1.30E-02,4.70E-02
