"?m, theoretical value",z
,m
0.490666667,1482.020548
0.492444444,1464.041096
0.494222222,1440.924658
0.496,1420.376712
0.496,1394.691781
0.499555556,1363.869863
0.499555556,1335.616438
0.506666667,1304.794521
0.506666667,1279.109589
0.510222222,1248.287671
0.510222222,1212.328767
0.515555556,1176.369863
0.519111111,1148.116438
0.524444444,1117.294521
0.526222222,1078.767123
0.531555556,1050.513699
0.533333333,1009.417808
0.540444444,970.890411
0.544,945.2054795
0.545777778,906.6780822
0.551111111,878.4246575
0.556444444,845.0342466
0.558222222,816.7808219
0.565333333,788.5273973
0.572444444,755.1369863
0.576,726.8835616
0.581333333,708.9041096
0.586666667,680.6506849
0.592,636.9863014
0.606222222,590.7534247
0.615111111,554.7945205
0.616888889,518.8356164
0.629333333,485.4452055
0.638222222,452.0547945
0.647111111,410.9589041
0.661333333,377.5684932
0.675555556,336.4726027
0.686222222,310.7876712
0.696888889,279.9657534
0.718222222,256.8493151
0.734222222,218.3219178
0.752,187.5
0.768,169.5205479
0.785777778,143.8356164
0.807111111,125.8561644
0.823111111,100.1712329
0.840888889,87.32876712
0.853333333,77.05479452
0.883555556,59.07534247
0.897777778,48.80136986
0.913777778,35.95890411
0.928,30.82191781
0.942222222,23.11643836
0.96,15.4109589
0.968888889,12.84246575
0.984888889,10.2739726
0.993777778,2.568493151
