u2/u2*,"z,resolved contribution"
,m
0.434017595,10.18675722
0.715542522,1413.412564
0.727272727,1395.585739
0.739002933,1367.572156
0.762463343,1497.453311
0.762463343,1487.266553
0.762463343,1438.879457
0.762463343,1426.14601
0.762463343,1339.558574
0.762463343,1306.451613
0.785923754,1459.252971
0.797653959,1273.344652
0.82111437,1247.877759
0.82111437,1230.050934
0.82111437,1214.770798
0.84457478,1176.570458
0.879765396,1140.916808
0.903225806,1107.809847
0.938416422,1077.249576
0.961876833,1044.142615
0.997067449,993.2088285
1.04398827,960.1018676
1.04398827,911.7147708
1.126099707,865.8743633
1.149560117,835.3140917
1.208211144,789.4736842
1.255131965,728.3531409
1.313782991,692.6994907
1.360703812,672.3259762
1.372434018,654.4991511
1.372434018,10.18675722
1.419354839,618.8455008
1.442815249,595.9252971
1.442815249,575.5517827
1.454545455,547.5382003
1.46627566,527.1646859
1.560117302,494.057725
1.618768328,458.4040747
1.700879765,430.3904924
1.700879765,12.73344652
1.782991202,394.7368421
1.865102639,366.7232598
1.923753666,336.1629881
1.947214076,12.73344652
2.017595308,308.1494058
2.123167155,287.7758913
2.158357771,15.28013582
2.252199413,275.0424448
2.322580645,252.1222411
2.392961877,15.28013582
2.416422287,236.8421053
2.545454545,221.5619694
2.545454545,17.82682513
2.674486804,17.82682513
2.686217009,203.7351443
2.791788856,17.82682513
2.862170088,188.4550085
2.967741935,20.37351443
3.026392962,170.6281834
3.17888563,20.37351443
3.202346041,160.4414261
3.331378299,20.37351443
3.425219941,145.1612903
3.507331378,20.37351443
3.648093842,20.37351443
3.659824047,127.3344652
3.753665689,22.92020374
3.847507331,117.147708
3.894428152,22.92020374
4.058651026,22.92020374
4.082111437,106.9609508
4.19941349,28.01358234
4.258064516,101.8675722
4.340175953,91.68081494
4.340175953,30.56027165
4.445747801,35.65365025
4.551319648,38.20033956
4.563049853,81.49405772
4.62170088,40.74702886
4.715542522,71.30730051
4.739002933,43.29371817
4.832844575,48.38709677
4.903225806,66.2139219
4.950146628,53.48047538
5.055718475,61.12054329
