w2/u2*,"z,resolved contribution"
,m
0.0087241,1496.216898
0.030534351,9.457755359
0.056706652,17.02395965
0.061068702,1488.650694
0.117775354,1482.97604
0.130861505,32.15636822
0.165757906,1473.518285
0.200654308,51.07187894
0.205016358,1467.843632
0.235550709,1454.602774
0.25736096,58.63808323
0.26172301,1407.313997
0.26608506,1424.337957
0.27917121,1447.03657
0.305343511,64.31273644
0.314067612,1390.290038
0.344601963,1388.398487
0.366412214,71.87894073
0.396946565,1378.940731
0.414394766,1352.459016
0.418756816,1369.482976
0.418756816,1333.543506
0.436205016,81.33669609
0.444929117,1316.519546
0.466739368,1312.736444
0.497273719,1301.387137
0.519083969,90.79445145
0.53217012,1295.712484
0.53653217,1278.688525
0.53653217,1259.773014
0.553980371,1250.315259
0.593238822,1229.508197
0.593238822,105.92686
0.615049073,1216.267339
0.615049073,1201.134931
0.619411123,1182.21942
0.641221374,1172.761665
0.645583424,117.2761665
0.663031625,1150.063052
0.684841876,1138.713745
0.684841876,1121.689786
0.697928026,1102.774275
0.719738277,126.7339218
0.732824427,1078.184111
0.745910578,1057.377049
0.767720829,1032.786885
0.776444929,136.1916772
0.785169029,1010.088272
0.80697928,985.4981084
0.815703381,964.6910467
0.841875682,930.6431274
0.854961832,151.3240858
0.876772083,902.2698613
0.894220284,162.6733922
0.898582334,872.0050441
0.924754635,845.5233291
0.950926936,811.4754098
0.955288986,183.480454
0.985823337,767.9697352
1.003271538,200.5044136
1.016357688,732.0302648
1.033805889,213.7452711
1.05997819,692.3076923
1.07742639,232.6607818
1.081788441,645.0189155
1.094874591,610.9709962
1.099236641,257.2509458
1.125408942,576.9230769
1.129770992,542.8751576
1.134133043,285.6242119
1.147219193,514.5018916
1.147219193,317.7805801
1.155943293,457.7553594
1.160305344,484.2370744
1.169029444,423.7074401
1.169029444,387.7679697
1.173391494,353.7200504
