v2/u2*,"z,SGS contribution"
,m
0.072780204,1467.336683
0.072780204,1429.648241
0.072780204,1399.497487
0.072780204,1366.834171
0.072780204,1324.120603
0.072780204,1298.994975
0.080058224,1477.386935
0.087336245,1489.949749
0.101892285,1273.869347
0.101892285,1241.20603
0.109170306,1208.542714
0.109170306,1198.492462
0.109170306,1153.266332
0.109170306,1135.678392
0.109170306,1105.527638
0.116448326,1087.939698
0.116448326,1050.251256
0.123726346,1010.050251
0.123726346,984.9246231
0.131004367,939.6984925
0.131004367,904.5226131
0.131004367,851.758794
0.131004367,819.0954774
0.138282387,781.4070352
0.160116448,751.2562814
0.160116448,713.5678392
0.167394469,678.3919598
0.174672489,643.2160804
0.18922853,608.040201
0.18922853,582.9145729
0.19650655,547.7386935
0.203784571,500
0.218340611,462.3115578
0.218340611,437.1859296
0.240174672,399.4974874
0.254730713,371.8592965
0.269286754,336.6834171
0.276564774,304.0201005
0.305676856,271.3567839
0.320232897,238.6934673
0.349344978,216.080402
0.356622999,195.9798995
0.400291121,178.3919598
0.422125182,160.8040201
0.465793304,140.7035176
0.553129549,110.5527638
0.57496361,7.537688442
0.669577875,95.47738693
0.756914119,82.91457286
0.902474527,75.37688442
0.909752547,10.05025126
0.989810771,20.10050251
1.069868996,60.30150754
1.14992722,20.10050251
1.171761281,57.78894472
1.208151383,20.10050251
1.310043668,17.5879397
1.324599709,57.78894472
1.360989811,20.10050251
1.448326055,7.537688442
1.477438137,57.78894472
1.521106259,10.05025126
1.608442504,12.56281407
1.615720524,42.71356784
1.652110626,17.5879397
1.717612809,17.5879397
1.783114993,17.5879397
1.790393013,45.22613065
1.877729258,17.5879397
1.92139738,45.22613065
2.001455604,15.07537688
2.052401747,37.68844221
2.103347889,22.61306533
2.197962154,40.20100503
2.234352256,17.5879397
2.372634643,37.68844221
2.467248908,17.5879397
2.481804949,32.66331658
2.612809316,32.66331658
2.69286754,22.61306533
2.707423581,32.66331658
2.780203785,30.15075377
2.845705968,30.15075377
2.88937409,15.07537688
2.918486172,25.12562814
2.991266376,20.10050251
3.07860262,20.10050251
