u2/u2*,"z,SGS contribution"
,m
0.070381232,1398.132428
0.070381232,1357.385399
0.070381232,1316.63837
0.082111437,1494.906621
0.082111437,1474.533107
0.082111437,1451.612903
0.093841642,1280.98472
0.093841642,1217.317487
0.093841642,1161.290323
0.105571848,1245.33107
0.105571848,1072.156197
0.117302053,1123.089983
0.140762463,1036.502547
0.140762463,998.3022071
0.140762463,972.8353141
0.140762463,939.7283531
0.164222874,832.7674024
0.164222874,786.9269949
0.164222874,735.9932088
0.175953079,886.2478778
0.187683284,690.1528014
0.187683284,644.3123939
0.187683284,618.8455008
0.19941349,529.7113752
0.2228739,573.0050934
0.2228739,499.1511036
0.234604106,466.0441426
0.234604106,427.8438031
0.269794721,394.7368421
0.269794721,353.9898132
0.281524927,315.7894737
0.316715543,277.5891341
0.340175953,241.9354839
0.398826979,185.9083192
0.42228739,150.2546689
0.516129032,124.7877759
0.598240469,101.8675722
0.680351906,84.04074703
0.832844575,76.40067912
0.961876833,63.6672326
1.055718475,61.12054329
1.231671554,56.02716469
1.313782991,56.02716469
1.442815249,48.38709677
1.630498534,50.93378608
1.759530792,43.29371817
1.91202346,43.29371817
2.041055718,43.29371817
2.099706745,40.74702886
2.275659824,38.20033956
2.392961877,33.10696095
2.557184751,25.46689304
2.709677419,25.46689304
2.873900293,25.46689304
3.026392962,20.37351443
3.061583578,17.82682513
