U-wind,U-z,V-wind,V-z
m/s,m,m/s,m
0.253968254,5.514705882,0.158730159,2.757352941
1.650793651,5.514705882,1.142857143,5.514705882
3.047619048,8.272058824,1.396825397,5.514705882
4.412698413,11.02941176,1.714285714,8.272058824
5.968253968,11.02941176,2,5.514705882
6.571428571,11.02941176,2.285714286,13.78676471
7.555555556,11.02941176,2.603174603,11.02941176
8.222222222,13.78676471,2.857142857,11.02941176
8.53968254,19.30147059,3.079365079,16.54411765
9.428571429,22.05882353,3.333333333,24.81617647
9.746031746,30.33088235,3.619047619,33.08823529
10.25396825,33.08823529,3.714285714,41.36029412
10.66666667,41.36029412,3.936507937,1359.375
10.92063492,49.63235294,4,1461.397059
11.20634921,49.63235294,4,1420.036765
11.49206349,63.41911765,4,1395.220588
11.74603175,71.69117647,4,1207.720588
12.03174603,88.23529412,4,1171.875
12.34920635,104.7794118,4,1130.514706
12.50793651,121.3235294,4,501.8382353
12.63492063,132.3529412,4,66.17647059
12.82539683,151.6544118,4.031746032,1494.485294
12.92063492,173.7132353,4.031746032,1318.014706
13.01587302,201.2867647,4.031746032,1295.955882
13.11111111,237.1323529,4.031746032,1260.110294
13.17460317,264.7058824,4.063492063,388.7867647
13.26984127,306.0661765,4.063492063,352.9411765
13.3968254,341.9117647,4.063492063,322.6102941
13.46031746,369.4852941,4.063492063,295.0367647
13.49206349,405.3308824,4.095238095,1072.610294
13.52380952,427.3897059,4.095238095,1039.522059
13.58730159,454.9632353,4.095238095,973.3455882
13.61904762,490.8088235,4.095238095,755.5147059
13.74603175,529.4117647,4.095238095,716.9117647
13.77777778,556.9852941,4.095238095,647.9779412
13.84126984,590.0735294,4.095238095,603.8602941
13.87301587,628.6764706,4.095238095,556.9852941
13.96825397,672.7941176,4.095238095,454.9632353
14.12698413,719.6691176,4.095238095,427.3897059
14.12698413,700.3676471,4.126984127,923.7132353
14.25396825,752.7573529,4.126984127,879.5955882
14.31746032,774.8161765,4.126984127,835.4779412
14.34920635,818.9338235,4.126984127,796.875
14.41269841,854.7794118,4.158730159,88.23529412
14.47619048,882.3529412,4.222222222,250.9191176
14.53968254,1000.919118,4.222222222,107.5367647
14.53968254,970.5882353,4.285714286,132.3529412
14.53968254,945.7720588,4.317460317,212.3161765
14.53968254,929.2279412,4.317460317,190.2573529
14.53968254,909.9264706,4.317460317,159.9264706
14.63492063,1119.485294,,
14.63492063,1047.794118,,
14.66666667,1367.647059,,
14.66666667,1177.389706,,
14.6984127,1488.970588,,
14.6984127,1472.426471,,
14.6984127,1447.610294,,
14.6984127,1411.764706,,
14.6984127,1080.882353,,
14.73015873,1334.558824,,
14.73015873,1304.227941,,
14.73015873,1265.625,,
14.73015873,1221.507353,,
