"?m, FOAM",z
,m
0.154152824,1488.446727
0.156810631,1498.074454
0.156810631,1490.372272
0.158139535,1469.191271
0.16345515,1448.01027
0.16345515,1430.680359
0.168770764,1417.20154
0.168770764,1384.467266
0.168770764,1370.988447
0.170099668,1394.094994
0.171428571,1407.573813
0.183388704,1359.435173
0.201993355,1347.8819
0.216611296,1334.403081
0.241860465,1116.816431
0.244518272,1137.997433
0.244518272,1107.188703
0.245847176,1322.849807
0.24717608,1087.933248
0.249833887,1147.62516
0.249833887,1032.092426
0.251162791,1051.347882
0.253820598,1070.603338
0.260465116,1012.83697
0.264451827,1311.296534
0.277740864,1180.359435
0.280398671,993.5815148
0.288372093,1297.817715
0.299003322,1282.41335
0.300332226,1201.540436
0.304318937,983.9537869
0.309634551,658.5365854
0.313621262,1257.381258
0.31627907,639.2811297
0.317607973,1238.125802
0.317607973,1220.795892
0.318936877,621.9512195
0.324252492,972.4005135
0.326910299,670.0898588
0.329568106,598.8446727
0.341528239,685.4942234
0.352159468,585.3658537
0.353488372,958.9216945
0.366777409,700.8985879
0.369435216,566.1103979
0.384053156,947.3684211
0.38538206,718.2284981
0.397342193,550.7060334
0.406644518,735.5584082
0.411960133,539.1527599
0.417275748,935.8151476
0.422591362,749.0372272
0.426578073,519.8973042
0.431893688,758.6649551
0.43986711,774.0693196
0.443853821,506.4184852
0.447840532,500.6418485
0.45448505,791.3992298
0.457142857,918.4852375
0.457142857,473.6842105
0.462458472,446.7265725
0.463787375,810.6546855
0.466445183,910.7830552
0.470431894,352.3748395
0.470431894,327.3427471
0.470431894,302.3106547
0.471760797,381.2580231
0.473089701,826.0590501
0.474418605,415.9178434
0.474418605,404.36457
0.474418605,281.1296534
0.485049834,845.3145058
0.485049834,256.097561
0.486378738,889.6020539
0.489036545,858.7933248
0.497009967,879.9743261
0.49833887,242.618742
0.515614618,229.139923
0.532890365,206.0333761
0.548837209,190.6290116
0.570099668,175.224647
0.590033223,163.6713736
0.611295681,155.9691913
0.633887043,146.3414634
0.648504983,132.8626444
0.673754153,127.0860077
0.713621262,117.4582798
0.756146179,107.830552
0.782724252,107.830552
0.809302326,94.35173299
0.842524917,88.57509628
0.882392027,82.79845956
0.907641196,77.02182285
0.939534884,75.09627728
0.960797342,69.31964056
0.97807309,65.46854942
0.998006645,63.54300385
0.999335548,1.925545571
1.012624585,57.76636714
1.029900332,5.776636714
1.040531561,57.76636714
1.055149502,44.28754814
1.057807309,9.627727856
1.072425249,32.73427471
1.072425249,19.25545571
1.089700997,17.32991014
