v2/u2*,"z,total correlation"
,m
0.094614265,7.537688442
0.269286754,10.05025126
0.516739447,1316.582915
0.524017467,1351.758794
0.524017467,1276.38191
0.531295488,1248.743719
0.545851528,1407.035176
0.545851528,1386.934673
0.545851528,1211.055276
0.553129549,12.56281407
0.560407569,1369.346734
0.56768559,1178.39196
0.604075691,1143.21608
0.611353712,1424.623116
0.618631732,1120.603015
0.625909753,1492.462312
0.625909753,1482.41206
0.633187773,1467.336683
0.640465793,1087.939698
0.647743814,1444.723618
0.684133916,1060.301508
0.720524017,12.56281407
0.727802038,1020.100503
0.77147016,987.4371859
0.800582242,12.56281407
0.815138282,954.7738693
0.866084425,917.0854271
0.873362445,12.56281407
0.902474527,881.9095477
0.96069869,841.7085427
0.997088792,804.0201005
1.026200873,761.3065327
1.026200873,12.56281407
1.062590975,731.1557789
1.098981077,693.4673367
1.120815138,668.3417085
1.120815138,643.2160804
1.120815138,12.56281407
1.142649199,610.5527638
1.179039301,572.8643216
1.215429403,535.1758794
1.237263464,10.05025126
1.280931587,500
1.280931587,17.5879397
1.34643377,459.798995
1.411935953,10.05025126
1.419213974,427.1356784
1.491994178,394.4723618
1.528384279,12.56281407
1.572052402,369.3467337
1.637554585,341.7085427
1.673944687,12.56281407
1.72489083,311.5577889
1.804949054,12.56281407
1.812227074,286.4321608
1.885007278,261.3065327
1.906841339,15.07537688
1.92139738,248.7437186
2.045123726,223.6180905
2.059679767,12.56281407
2.11062591,203.5175879
2.161572052,12.56281407
2.197962154,163.3165829
2.29985444,143.2160804
2.358078603,12.56281407
2.430858806,118.0904523
2.49636099,105.5276382
2.510917031,15.07537688
2.554585153,15.07537688
2.569141194,90.45226131
2.605531295,15.07537688
2.714701601,12.56281407
2.729257642,80.40201005
2.802037846,15.07537688
2.860262009,57.78894472
2.925764192,15.07537688
3.005822416,57.78894472
3.020378457,15.07537688
3.114992722,57.78894472
3.136826783,17.5879397
3.26055313,50.25125628
3.27510917,17.5879397
3.406113537,17.5879397
3.427947598,42.71356784
3.529839884,45.22613065
3.624454148,45.22613065
3.64628821,17.5879397
3.806404658,35.1758794
3.813682678,17.5879397
3.951965066,32.66331658
3.995633188,20.10050251
4.053857351,20.10050251
4.112081514,32.66331658
4.206695779,20.10050251
4.23580786,30.15075377
4.41775837,22.61306533
