V-wind,z
m/s,m
0.158730159,2.757352941
1.142857143,5.514705882
1.396825397,5.514705882
1.714285714,8.272058824
2,5.514705882
2.285714286,13.78676471
2.603174603,11.02941176
2.857142857,11.02941176
3.079365079,16.54411765
3.333333333,24.81617647
3.619047619,33.08823529
3.714285714,41.36029412
3.936507937,1359.375
4,1461.397059
4,1420.036765
4,1395.220588
4,1207.720588
4,1171.875
4,1130.514706
4,501.8382353
4,66.17647059
4.031746032,1494.485294
4.031746032,1318.014706
4.031746032,1295.955882
4.031746032,1260.110294
4.063492063,388.7867647
4.063492063,352.9411765
4.063492063,322.6102941
4.063492063,295.0367647
4.095238095,1072.610294
4.095238095,1039.522059
4.095238095,973.3455882
4.095238095,755.5147059
4.095238095,716.9117647
4.095238095,647.9779412
4.095238095,603.8602941
4.095238095,556.9852941
4.095238095,454.9632353
4.095238095,427.3897059
4.126984127,923.7132353
4.126984127,879.5955882
4.126984127,835.4779412
4.126984127,796.875
4.158730159,88.23529412
4.222222222,250.9191176
4.222222222,107.5367647
4.285714286,132.3529412
4.317460317,212.3161765
4.317460317,190.2573529
4.317460317,159.9264706
