w2/u2*,"z,SGS contribution"
,m
0.061068702,3.783102144
0.065430752,1465.952081
0.065430752,1445.145019
0.065430752,1414.880202
0.069792803,1384.615385
0.078516903,1486.759142
0.082878953,1339.218159
0.087241003,1305.17024
0.087241003,1269.230769
0.087241003,1227.616646
0.095965104,1210.592686
0.100327154,1165.19546
0.104689204,1125.472888
0.109051254,1098.991173
0.117775354,1070.617907
0.126499455,1042.244641
0.126499455,1023.32913
0.126499455,989.2812106
0.126499455,957.1248424
0.130861505,900.3783102
0.135223555,928.7515763
0.139585605,881.4627995
0.152671756,837.9571248
0.152671756,813.3669609
0.152671756,788.776797
0.161395856,743.3795712
0.165757906,715.0063052
0.165757906,686.6330391
0.170119956,663.9344262
0.174482007,631.778058
0.178844057,593.9470366
0.187568157,558.0075662
0.187568157,5.674653216
0.200654308,542.8751576
0.200654308,497.4779319
0.213740458,476.6708701
0.231188659,425.5989912
0.239912759,395.334174
0.248636859,357.5031526
0.26172301,332.9129887
0.27917121,313.9974779
0.292257361,285.6242119
0.309705562,255.3593947
0.331515812,223.2030265
0.331515812,3.783102144
0.357688113,204.2875158
0.405670665,174.0226986
0.418756816,158.89029
0.444929117,3.783102144
0.458015267,130.517024
0.514721919,117.2761665
0.553980371,111.6015132
0.575790622,3.783102144
0.610687023,102.1437579
0.663031625,87.01134931
0.711014177,5.674653216
0.732824427,87.01134931
0.745910578,85.11979823
0.767720829,7.566204288
0.78953108,75.66204288
0.850599782,73.7704918
0.868047983,5.674653216
0.911668484,68.09583859
0.964013086,7.566204288
0.968375136,66.20428752
1.025081788,52.96343001
1.051254089,52.96343001
1.06434024,7.566204288
1.107960742,52.96343001
1.151581243,7.566204288
1.195201745,7.566204288
1.212649945,52.96343001
1.264994547,7.566204288
1.282442748,52.96343001
1.3304253,52.96343001
1.3304253,13.2408575
1.435114504,47.2887768
1.435114504,7.566204288
1.531079607,43.50567465
1.548527808,7.566204288
1.613958561,45.39722573
1.618320611,11.34930643
1.644492912,11.34930643
1.714285714,7.566204288
1.762268266,7.566204288
1.840785169,45.39722573
1.87131952,15.13240858
1.910577972,5.674653216
1.967284624,37.83102144
2.019629226,7.566204288
2.076335878,32.15636822
2.093784079,32.15636822
2.102508179,9.457755359
2.167938931,32.15636822
2.181025082,13.2408575
2.229007634,32.15636822
2.246455834,30.26481715
2.250817884,13.2408575
2.316248637,30.26481715
2.342420938,32.15636822
2.372955289,13.2408575
2.425299891,9.457755359
2.451472192,35.93947037
2.477644493,35.93947037
2.477644493,9.457755359
2.525627045,11.34930643
2.547437296,34.04791929
2.630316249,13.2408575
2.639040349,13.2408575
2.647764449,22.69861286
2.713195202,17.02395965
2.735005453,22.69861286
2.782988004,17.02395965
2.809160305,22.69861286
2.861504907,18.91551072
2.861504907,15.13240858
2.992366412,20.80706179
