U-wind,z
m/s,m
0.253968254,5.514705882
1.650793651,5.514705882
3.047619048,8.272058824
4.412698413,11.02941176
5.968253968,11.02941176
6.571428571,11.02941176
7.555555556,11.02941176
8.222222222,13.78676471
8.53968254,19.30147059
9.428571429,22.05882353
9.746031746,30.33088235
10.25396825,33.08823529
10.66666667,41.36029412
10.92063492,49.63235294
11.20634921,49.63235294
11.49206349,63.41911765
11.74603175,71.69117647
12.03174603,88.23529412
12.34920635,104.7794118
12.50793651,121.3235294
12.63492063,132.3529412
12.82539683,151.6544118
12.92063492,173.7132353
13.01587302,201.2867647
13.11111111,237.1323529
13.17460317,264.7058824
13.26984127,306.0661765
13.3968254,341.9117647
13.46031746,369.4852941
13.49206349,405.3308824
13.52380952,427.3897059
13.58730159,454.9632353
13.61904762,490.8088235
13.74603175,529.4117647
13.77777778,556.9852941
13.84126984,590.0735294
13.87301587,628.6764706
13.96825397,672.7941176
14.12698413,719.6691176
14.12698413,700.3676471
14.25396825,752.7573529
14.31746032,774.8161765
14.34920635,818.9338235
14.41269841,854.7794118
14.47619048,882.3529412
14.53968254,1000.919118
14.53968254,970.5882353
14.53968254,945.7720588
14.53968254,929.2279412
14.53968254,909.9264706
14.63492063,1119.485294
14.63492063,1047.794118
14.66666667,1367.647059
14.66666667,1177.389706
14.6984127,1488.970588
14.6984127,1472.426471
14.6984127,1447.610294
14.6984127,1411.764706
14.6984127,1080.882353
14.73015873,1334.558824
14.73015873,1304.227941
14.73015873,1265.625
14.73015873,1221.507353
