horizontal wind,z
m/s,m
0.380952381,5.514705882
1.587301587,5.514705882
2.952380952,2.757352941
3.492063492,2.757352941
3.968253968,5.514705882
4.285714286,5.514705882
4.444444444,8.272058824
4.634920635,8.272058824
5.079365079,2.757352941
5.523809524,8.272058824
5.841269841,8.272058824
6.158730159,11.02941176
6.476190476,11.02941176
6.857142857,8.272058824
7.333333333,8.272058824
7.714285714,11.02941176
8,11.02941176
8.412698413,13.78676471
8.920634921,13.78676471
9.301587302,16.54411765
9.714285714,19.30147059
10,22.05882353
10.28571429,27.57352941
10.66666667,35.84558824
11.11111111,38.60294118
11.3968254,46.875
11.87301587,55.14705882
12.19047619,68.93382353
12.50793651,79.96323529
12.85714286,99.26470588
13.11111111,115.8088235
13.26984127,126.8382353
13.36507937,143.3823529
13.58730159,170.9558824
13.65079365,193.0147059
13.71428571,245.4044118
13.80952381,289.5220588
13.93650794,341.9117647
14.06349206,372.2426471
14.12698413,449.4485294
14.12698413,410.8455882
14.25396825,490.8088235
14.31746032,523.8970588
14.41269841,565.2573529
14.50793651,617.6470588
14.57142857,653.4926471
14.66666667,686.5808824
14.6984127,725.1838235
14.82539683,755.5147059
14.95238095,813.4191176
15.04761905,857.5367647
15.11111111,1000.919118
15.11111111,970.5882353
15.11111111,909.9264706
15.20634921,1282.169118
15.20634921,1260.110294
15.20634921,1061.580882
15.23809524,1497.242647
15.23809524,1464.154412
15.23809524,1436.580882
15.23809524,1392.463235
15.26984127,1356.617647
15.26984127,1323.529412
15.26984127,1218.75
15.26984127,1166.360294
15.26984127,1133.272059
