Theta,z
288.4751977,97.49034749
288.4754237,95.55984556
288.4756497,95.55984556
288.4758757,95.55984556
288.4761017,95.55984556
288.4763277,95.55984556
288.4765537,94.59459459
288.4767797,93.62934363
288.4770056,93.62934363
288.4772316,93.62934363
288.4774576,93.62934363
288.4776836,93.62934363
288.4779096,92.66409266
288.4781356,91.6988417
288.4783616,91.6988417
288.4785876,91.6988417
288.4788136,91.6988417
288.4790395,91.6988417
288.4792655,90.73359073
288.4794915,89.76833977
288.4797175,89.76833977
288.4799435,89.76833977
288.4801695,89.76833977
288.4803955,89.76833977
288.4806215,89.76833977
288.4808475,88.8030888
288.4810734,87.83783784
288.4812994,87.83783784
288.4815254,87.83783784
288.4817514,87.83783784
288.4819774,87.83783784
288.4822034,86.87258687
288.4824294,85.90733591
288.4826554,85.90733591
288.4828814,85.90733591
288.4831073,85.90733591
288.4833333,85.90733591
288.4835593,84.94208494
288.4837853,83.97683398
288.4840113,83.97683398
288.4842373,83.97683398
288.4844633,83.97683398
288.4846893,83.97683398
288.4849153,83.01158301
288.4851412,82.04633205
288.4853672,82.04633205
288.4855932,82.04633205
288.4858192,82.04633205
288.4860452,82.04633205
288.4862712,82.04633205
288.4864972,81.08108108
288.4867232,80.11583012
288.4869492,80.11583012
288.4871751,80.11583012
288.4874011,80.11583012
288.4876271,80.11583012
288.4878531,79.15057915
288.4880791,78.18532819
288.4883051,78.18532819
288.4885311,78.18532819
288.4887571,78.18532819
288.4889831,78.18532819
288.489209,77.22007722
288.489435,76.25482625
288.489661,76.25482625
288.489887,76.25482625
288.490113,76.25482625
288.490339,76.25482625
288.490565,75.28957529
288.490791,74.32432432
288.4910169,74.32432432
288.4912429,74.32432432
288.4914689,74.32432432
288.4916949,74.32432432
288.4919209,73.35907336
288.4921469,72.39382239
288.4923729,72.39382239
288.4925989,72.39382239
288.4928249,72.39382239
288.4930508,72.39382239
288.4932768,72.39382239
288.4935028,71.42857143
288.4937288,70.46332046
288.4939548,70.46332046
288.4941808,70.46332046
288.4944068,70.46332046
288.4946328,70.46332046
288.4948588,69.4980695
288.4950847,68.53281853
288.4953107,68.53281853
288.4955367,68.53281853
288.4957627,68.53281853
288.4959887,68.53281853
288.4962147,67.56756757
288.4964407,66.6023166
288.4966667,66.6023166
288.4968927,66.6023166
288.4971186,66.6023166
288.4973446,66.6023166
288.4975706,65.63706564
288.4977966,64.67181467
288.4980226,64.67181467
288.4982486,64.67181467
288.4984746,64.67181467
288.4987006,64.67181467
288.4989266,63.70656371
288.4991525,62.74131274
288.4993785,62.74131274
288.4996045,62.74131274
288.4998305,62.74131274
288.5000565,62.74131274
288.5002825,62.74131274
288.5005085,61.77606178
288.5007345,60.81081081
288.5009605,60.81081081
288.5011864,60.81081081
288.5014124,60.81081081
288.5016384,60.81081081
288.5018644,59.84555985
288.5020904,58.88030888
288.5023164,58.88030888
288.5025424,58.88030888
288.5027684,58.88030888
288.5029944,58.88030888
288.5032203,57.91505792
288.5034463,57.91505792
288.5036723,56.94980695
288.5038983,56.94980695
288.5041243,56.94980695
288.5043503,56.94980695
288.5045763,56.94980695
288.5048023,56.94980695
288.5050282,56.94980695
288.5052542,55.98455598
288.5054802,55.98455598
288.5057062,55.01930502
288.5059322,55.01930502
288.5061582,55.01930502
288.5063842,55.01930502
288.5066102,55.01930502
288.5068362,55.01930502
288.5070621,55.01930502
288.5072881,54.05405405
288.5075141,54.05405405
288.5077401,53.08880309
288.5079661,53.08880309
288.5081921,53.08880309
288.5084181,53.08880309
288.5086441,53.08880309
288.5088701,53.08880309
288.509096,53.08880309
288.509322,52.12355212
288.509548,52.12355212
288.509774,51.15830116
288.51,51.15830116
288.510226,51.15830116
288.510452,51.15830116
288.510678,51.15830116
288.510904,51.15830116
288.5111299,51.15830116
288.5113559,50.19305019
288.5115819,50.19305019
288.5118079,49.22779923
288.5120339,49.22779923
288.5122599,49.22779923
288.5124859,49.22779923
288.5127119,49.22779923
288.5129379,49.22779923
288.5131638,49.22779923
288.5133898,48.26254826
288.5136158,48.26254826
288.5138418,47.2972973
288.5140678,47.2972973
288.5142938,47.2972973
288.5145198,47.2972973
288.5147458,47.2972973
288.5149718,47.2972973
288.5151977,47.2972973
288.5154237,46.33204633
288.5156497,46.33204633
288.5158757,45.36679537
288.5161017,45.36679537
288.5163277,45.36679537
288.5165537,45.36679537
288.5167797,45.36679537
288.5170056,45.36679537
288.5172316,45.36679537
288.5174576,44.4015444
288.5176836,44.4015444
288.5179096,44.4015444
288.5181356,44.4015444
288.5183616,44.4015444
288.5185876,44.4015444
288.5188136,44.4015444
288.5190395,44.4015444
288.5192655,44.4015444
288.5219774,38.61003861
288.5242373,36.67953668
288.5264972,32.81853282
288.5287571,32.81853282
288.5310169,28.95752896
288.5328249,27.02702703
288.5364407,23.16602317
288.5387006,21.23552124
288.5425424,17.37451737
