Theta,z
K,m
288.3911299,1416.988417
288.3911299,1492.277992
288.3911299,1467.181467
288.3913559,1399.184899
288.3913559,1447.876448
288.3913559,1430.501931
288.3913559,1384.169884
288.3913559,1250.965251
288.3913559,1223.938224
288.3915819,1276.061776
288.3915819,1359.073359
288.3918079,1275.851939
288.3918079,1208.494208
288.3918079,1181.467181
288.3920339,1163.127413
288.3920339,1328.185328
288.3920339,1299.227799
288.3920339,1266.409266
288.3922599,1154.440154
288.3924859,1146.718147
288.3927119,1140.926641
288.3929379,1135.135135
288.3931638,1131.274131
288.3933898,1126.447876
288.3936158,1121.621622
288.3938418,1117.760618
288.3940678,1112.934363
288.3942938,1109.073359
288.3945198,1105.212355
288.3947458,1101.351351
288.3949718,1098.455598
288.3951977,1095.559846
288.3954237,1091.698842
288.3956497,1088.803089
288.3958757,1085.907336
288.3961017,1083.011583
288.3963277,1080.11583
288.3965537,1076.254826
288.3967797,1073.359073
288.3970056,1070.46332
288.3972316,1066.602317
288.3974576,1063.706564
288.3976836,1060.810811
288.3979096,1056.949807
288.3981356,1053.088803
288.3983616,1050.19305
288.3985876,1047.297297
288.3988136,1043.436293
288.3990395,1039.57529
288.3992655,1036.679537
288.3994915,1032.818533
288.3997175,1028.957529
288.3999435,1023.166023
288.4001695,1018.339768
288.4003955,1013.513514
288.4006215,1007.722008
288.4008475,1002.895753
288.4010734,997.1042471
288.4012994,989.3822394
288.4015254,980.6949807
288.4017514,971.042471
288.4019774,961.3899614
288.4022034,947.8764479
288.4024294,931.4671815
288.4026554,908.3011583
288.4028814,890.9266409
288.4031073,873.5521236
288.4033333,865.8301158
288.4035593,858.1081081
288.4037853,849.4208494
288.4040113,843.6293436
288.4042373,838.8030888
288.4044633,834.9420849
288.4046893,831.0810811
288.4049153,827.2200772
288.4051412,823.3590734
288.4053672,819.4980695
288.4055932,814.6718147
288.4058192,810.8108108
288.4060452,807.9150579
288.4062712,804.0540541
288.4064972,801.1583012
288.4067232,797.2972973
288.4069492,794.4015444
288.4071751,791.5057915
288.4074011,788.6100386
288.4076271,785.7142857
288.4078531,782.8185328
288.4080791,779.9227799
288.4083051,776.0617761
288.4085311,773.1660232
288.4087571,770.2702703
288.4089831,767.3745174
288.409209,763.5135135
288.409435,760.6177606
288.409661,757.7220077
288.409887,754.8262548
288.410113,750.965251
288.410339,748.0694981
288.410565,745.1737452
288.410791,742.2779923
288.4110169,738.4169884
288.4112429,735.5212355
288.4114689,732.6254826
288.4116949,728.7644788
288.4119209,724.9034749
288.4121469,721.042471
288.4123729,717.1814672
288.4125989,713.3204633
288.4128249,709.4594595
288.4130508,705.5984556
288.4132768,701.7374517
288.4135028,696.9111969
288.4137288,693.0501931
288.4139548,687.2586873
288.4141808,682.4324324
288.4144068,677.6061776
288.4146328,671.8146718
288.4148588,666.988417
288.4150847,662.1621622
288.4153107,656.3706564
288.4155367,650.5791506
288.4157627,643.8223938
288.4159887,638.030888
288.4162147,632.2393822
288.4164407,626.4478764
288.4166667,620.6563707
288.4168927,614.8648649
288.4171186,609.0733591
288.4173446,603.2818533
288.4175706,597.4903475
288.4177966,591.6988417
288.4180226,585.9073359
288.4182486,580.1158301
288.4184746,574.3243243
288.4187006,569.4980695
288.4189266,563.7065637
288.4191525,558.8803089
288.4193785,553.0888031
288.4196045,548.2625483
288.4198305,543.4362934
288.4200565,539.5752896
288.4202825,534.7490347
288.4205085,530.8880309
288.4207345,527.027027
288.4209605,522.2007722
288.4211864,518.3397683
288.4214124,514.4787645
288.4216384,510.6177606
288.4218644,506.7567568
288.4220904,502.8957529
288.4223164,499.034749
288.4225424,495.1737452
288.4227684,491.3127413
288.4229944,487.4517375
288.4232203,484.5559846
288.4234463,481.6602317
288.4236723,477.7992278
288.4238983,473.9382239
288.4241243,470.0772201
288.4243503,466.2162162
288.4245763,461.3899614
288.4248023,457.5289575
288.4250282,452.7027027
288.4252542,448.8416988
288.4254802,444.015444
288.4257062,440.1544402
288.4259322,435.3281853
288.4261582,431.4671815
288.4263842,426.6409266
288.4266102,422.7799228
288.4268362,417.953668
288.4270621,413.1274131
288.4272881,409.2664093
288.4275141,405.4054054
288.4277401,400.5791506
288.4279661,396.7181467
288.4281921,392.8571429
288.4284181,388.996139
288.4286441,385.1351351
288.4288701,381.2741313
288.429096,377.4131274
288.429322,373.5521236
288.429548,369.6911197
288.429774,365.8301158
288.43,361.969112
288.430226,358.1081081
288.430452,354.2471042
288.430678,351.3513514
288.430904,348.4555985
288.4311299,344.5945946
288.4313559,341.6988417
288.4315819,338.8030888
288.4318079,334.9420849
288.4320339,332.046332
288.4322599,329.1505792
288.4324859,325.2895753
288.4327119,322.3938224
288.4329379,319.4980695
288.4331638,316.6023166
288.4333898,314.6718147
288.4336158,311.7760618
288.4338418,308.8803089
288.4340678,306.9498069
288.4342938,305.019305
288.4345198,301.1583012
288.4347458,299.2277992
288.4349718,297.2972973
288.4351977,293.4362934
288.4354237,291.5057915
288.4356497,289.5752896
288.4358757,287.6447876
288.4361017,283.7837838
288.4363277,281.8532819
288.4365537,279.9227799
288.4367797,277.992278
288.4370056,276.0617761
288.4372316,273.1660232
288.4374576,271.2355212
288.4376836,268.3397683
288.4379096,266.4092664
288.4381356,264.4787645
288.4383616,262.5482625
288.4385876,260.6177606
288.4388136,258.6872587
288.4390395,255.7915058
288.4392655,253.8610039
288.4394915,250.965251
288.4397175,249.034749
288.4399435,247.1042471
288.4401695,245.1737452
288.4403955,243.2432432
288.4406215,241.3127413
288.4408475,239.3822394
288.4410734,237.4517375
288.4412994,235.5212355
288.4415254,232.6254826
288.4417514,230.6949807
288.4419774,228.7644788
288.4422034,226.8339768
288.4424294,224.9034749
288.4426554,222.972973
288.4428814,221.042471
288.4431073,219.1119691
288.4433333,217.1814672
288.4435593,215.2509653
288.4437853,213.3204633
288.4440113,210.4247104
288.4442373,208.4942085
288.4444633,207.5289575
288.4446893,205.5984556
288.4449153,203.6679537
288.4451412,201.7374517
288.4453672,200.7722008
288.4455932,198.8416988
288.4458192,197.8764479
288.4460452,195.9459459
288.4462712,194.015444
288.4464972,192.0849421
288.4467232,191.1196911
288.4469492,189.1891892
288.4471751,187.2586873
288.4474011,186.2934363
288.4476271,184.3629344
288.4478531,182.4324324
288.4480791,180.5019305
288.4483051,179.5366795
288.4485311,177.6061776
288.4487571,176.6409266
288.4489831,174.7104247
288.449209,172.7799228
288.449435,170.8494208
288.449661,170.8494208
288.449887,168.9189189
288.450113,168.9189189
288.450339,166.988417
288.450565,166.988417
288.450791,165.0579151
288.4510169,165.0579151
288.4512429,163.1274131
288.4514689,163.1274131
288.4516949,161.1969112
288.4519209,161.1969112
288.4521469,161.1969112
288.4523729,159.2664093
288.4525989,159.2664093
288.4528249,157.3359073
288.4530508,157.3359073
288.4532768,155.4054054
288.4535028,155.4054054
288.4537288,153.4749035
288.4539548,153.4749035
288.4541808,151.5444015
288.4544068,151.5444015
288.4546328,150.5791506
288.4548588,149.6138996
288.4550847,149.6138996
288.4553107,147.6833977
288.4555367,147.6833977
288.4557627,145.7528958
288.4559887,145.7528958
288.4562147,143.8223938
288.4564407,143.8223938
288.4566667,141.8918919
288.4568927,141.8918919
288.4571186,139.96139
288.4573446,139.96139
288.4575706,138.996139
288.4577966,138.030888
288.4580226,138.030888
288.4582486,136.1003861
288.4584746,136.1003861
288.4587006,134.1698842
288.4589266,134.1698842
288.4591525,132.2393822
288.4593785,132.2393822
288.4596045,132.2393822
288.4598305,132.2393822
288.4600565,130.3088803
288.4602825,130.3088803
288.4605085,130.3088803
288.4607345,129.3436293
288.4609605,128.3783784
288.4611864,128.3783784
288.4614124,128.3783784
288.4616384,127.4131274
288.4618644,126.4478764
288.4620904,126.4478764
288.4623164,126.4478764
288.4625424,124.5173745
288.4627684,124.5173745
288.4629944,124.5173745
288.4632203,124.5173745
288.4634463,122.5868726
288.4636723,122.5868726
288.4638983,122.5868726
288.4641243,122.5868726
288.4643503,120.6563707
288.4645763,120.6563707
288.4648023,120.6563707
288.4650282,119.6911197
288.4652542,118.7258687
288.4654802,118.7258687
288.4657062,118.7258687
288.4659322,117.7606178
288.4661582,116.7953668
288.4663842,116.7953668
288.4666102,116.7953668
288.4668362,114.8648649
288.4670621,114.8648649
288.4672881,114.8648649
288.4675141,114.8648649
288.4677401,112.9343629
288.4679661,112.9343629
288.4681921,112.9343629
288.4684181,112.9343629
288.4686441,111.003861
288.4688701,111.003861
288.469096,111.003861
288.469322,110.03861
288.469548,109.0733591
288.469774,109.0733591
288.47,109.0733591
288.470226,108.1081081
288.470452,107.1428571
288.470678,107.1428571
288.470904,107.1428571
288.4711299,105.2123552
288.4713559,105.2123552
288.4715819,105.2123552
288.4718079,105.2123552
288.4720339,103.2818533
288.4722599,103.2818533
288.4724859,103.2818533
288.4727119,103.2818533
288.4729379,101.3513514
288.4731638,101.3513514
288.4733898,101.3513514
288.4736158,100.3861004
288.4738418,99.42084942
288.4740678,99.42084942
288.4742938,99.42084942
288.4745198,98.45559846
288.4747458,97.49034749
288.4749718,97.49034749
