vw/u2*,"z,SGS contribution"
,m
-0.299223085,3.851091142
-0.290788013,1.925545571
-0.288568257,5.776636714
-0.283684795,7.702182285
-0.280133185,7.702182285
-0.271254162,9.627727856
-0.263706992,13.478819
-0.254384018,13.478819
-0.245948946,15.40436457
-0.235294118,15.40436457
-0.226415094,17.32991014
-0.220199778,23.10654685
-0.213984462,23.10654685
-0.210432852,26.957638
-0.206437292,25.03209243
-0.200665927,25.03209243
-0.19445061,28.88318357
-0.187347392,26.957638
-0.178468368,32.73427471
-0.17136515,32.73427471
-0.161598224,36.58536585
-0.154495006,38.51091142
-0.146503885,40.436457
-0.140732519,40.436457
-0.13318535,44.28754814
-0.127857936,42.36200257
-0.122974473,48.13863928
-0.115871254,48.13863928
-0.110099889,51.98973042
-0.10299667,57.76636714
-0.097225305,57.76636714
-0.089678135,63.54300385
-0.08390677,63.54300385
-0.075915649,67.39409499
-0.070144284,71.24518614
-0.061709212,75.09627728
-0.051942286,80.87291399
-0.044395117,86.64955071
-0.0381798,90.50064185
-0.033296337,92.42618742
-0.029744728,96.27727856
-0.024861265,102.0539153
-0.022197558,103.9794608
-0.017758047,113.6071887
-0.013318535,119.3838254
-0.010210877,127.0860077
-0.007103219,150.1925546
-0.00399556,188.703466
-0.00399556,167.5224647
-0.003107658,221.4377407
-0.001331853,868.4210526
-0.001331853,404.36457
-0.001331853,254.1720154
-0.000887902,1496.148909
-0.000887902,1484.595635
-0.000887902,1440.308087
-0.000887902,1411.424904
-0.000887902,1390.243902
-0.000887902,1338.254172
-0.000887902,1317.073171
-0.000887902,889.6020539
-0.000887902,737.4839538
-0.000887902,475.6097561
-0.000887902,433.2477535
-0.000887902,373.5558408
-0.000887902,340.8215661
-0.000443951,1367.137356
-0.000443951,1290.115533
-0.000443951,1259.306804
-0.000443951,1224.646983
-0.000443951,1195.7638
-0.000443951,1168.806162
-0.000443951,1139.922978
-0.000443951,1099.486521
-0.000443951,1072.528883
-0.000443951,1008.985879
-0.000443951,964.6983312
-0.000443951,926.1874198
-0.000443951,779.8459564
-0.000443951,668.1643132
-0.000443951,616.1745828
-0.000443951,564.1848524
-0.000443951,523.7483954
-0.000443951,310.012837
-0.000443951,281.1296534
-4.50E-18,1461.489089
-4.50E-18,1041.720154
-4.50E-18,827.9845956
