u2/u2*,"z,total correlation"
,m
0.527859238,7.640067912
0.809384164,1410.865874
0.82111437,1426.14601
0.82111437,1387.945671
0.832844575,1497.453311
0.832844575,1347.198642
0.84457478,1466.893039
0.856304985,1441.426146
0.856304985,1308.998302
0.891495601,1250.424448
0.950146628,1184.210526
1.008797654,1133.27674
1.04398827,1087.436333
1.055718475,10.18675722
1.079178886,1051.782683
1.126099707,1016.129032
1.173020528,967.7419355
1.184750733,934.6349745
1.219941349,896.434635
1.26686217,868.4210526
1.325513196,832.7674024
1.360703812,797.1137521
1.407624633,761.4601019
1.442815249,720.713073
1.513196481,679.9660441
1.560117302,651.9524618
1.595307918,621.3921902
1.618768328,598.4719864
1.630498534,562.8183362
1.68914956,527.1646859
1.747800587,504.2444822
1.806451613,468.5908319
1.900293255,443.1239389
1.923753666,12.73344652
1.958944282,420.2037351
2.029325513,399.8302207
2.099706745,374.3633277
2.181818182,346.3497453
2.287390029,323.4295416
2.404692082,297.9626486
2.521994135,269.9490662
2.592375367,12.73344652
2.651026393,252.1222411
2.75659824,12.73344652
2.768328446,241.9354839
2.897360704,226.655348
3.002932551,208.8285229
3.014662757,10.18675722
3.17888563,196.0950764
3.284457478,12.73344652
3.331378299,183.3616299
3.343108504,12.73344652
3.565982405,162.9881154
3.57771261,12.73344652
3.718475073,12.73344652
3.847507331,12.73344652
3.882697947,145.1612903
4.082111437,129.8811545
4.140762463,12.73344652
4.281524927,119.6943973
4.398826979,12.73344652
4.64516129,109.5076401
4.64516129,15.28013582
4.938416422,99.32088285
4.973607038,12.73344652
5.161290323,17.82682513
5.173020528,86.58743633
5.384164223,84.04074703
5.395894428,15.28013582
5.560117302,20.37351443
5.607038123,78.94736842
5.747800587,20.37351443
5.829912023,71.30730051
5.982404692,20.37351443
6.064516129,61.12054329
6.134897361,20.37351443
6.228739003,58.57385399
6.33431085,20.37351443
6.451612903,45.84040747
6.53372434,17.82682513
6.615835777,35.65365025
6.697947214,20.37351443
6.838709677,25.46689304
6.944281525,20.37351443
