Drection,z
degrees,m
15.40063593,1109.834559
15.40540541,1120.863971
15.41017488,1123.945718
15.41017488,1149.816176
15.41017488,1069.852941
15.41494436,1123.921036
15.41971383,1104.664522
15.42448331,1107.865021
15.42448331,1210.477941
15.42448331,1185.661765
15.42448331,1025.735294
15.42925278,1127.005348
15.43402226,1147.058824
15.43879173,1146.210407
15.44356121,1158.088235
15.44833068,1156.179299
15.44833068,1240.808824
15.45310016,1144.607843
15.45786963,1268.382353
15.46263911,1275.275735
15.46740859,1280.790441
15.47217806,1287.683824
15.47217806,978.8602941
15.47694754,1293.198529
15.48171701,1301.470588
15.48648649,1309.742647
15.49125596,1319.393382
15.49602544,1327.665441
15.50079491,1334.558824
15.50079491,943.0147059
15.50556439,1341.452206
15.51033386,1348.345588
15.51510334,1353.860294
15.51987281,1359.375
15.52464229,1366.268382
15.52941176,1375.919118
15.52941176,912.6838235
15.53418124,1385.569853
15.53895072,1396.599265
15.54372019,1426.930147
15.54848967,1453.125
15.55325914,876.8382353
15.55802862,871.3235294
15.56279809,864.4301471
15.56279809,1488.970588
15.56756757,857.5367647
15.57233704,852.0220588
15.57710652,846.5073529
15.58187599,842.3713235
15.58664547,838.2352941
15.59141494,835.4779412
15.59618442,832.7205882
15.6009539,829.9632353
15.60572337,825.8272059
15.61049285,821.6911765
15.61526232,818.9338235
15.6200318,816.1764706
15.62480127,813.4191176
15.62957075,810.6617647
15.63434022,806.5257353
15.6391097,803.7683824
15.64387917,801.0110294
15.64864865,798.2536765
15.65341812,796.875
15.6581876,794.1176471
15.66295707,791.3602941
15.66772655,788.6029412
15.67249603,785.8455882
15.6772655,783.0882353
15.68203498,780.3308824
15.68680445,777.5735294
15.69157393,774.8161765
15.6963434,772.0588235
15.70111288,769.3014706
15.70588235,766.5441176
15.71065183,763.7867647
15.7154213,761.0294118
15.72019078,759.6507353
15.72496025,756.8933824
15.72972973,754.1360294
15.73449921,751.3786765
15.73926868,748.6213235
15.74403816,745.8639706
15.74880763,743.1066176
15.75357711,740.3492647
15.75834658,737.5919118
15.76311606,734.8345588
15.76788553,732.0772059
15.77265501,727.9411765
15.77742448,725.1838235
15.78219396,722.4264706
15.78696343,719.6691176
15.79173291,716.9117647
15.79650238,712.7757353
15.80127186,708.6397059
15.80604134,705.8823529
15.81081081,703.125
15.81558029,700.3676471
15.82034976,696.2316176
15.82511924,692.0955882
15.82988871,686.5808824
15.83465819,679.6875
15.83942766,674.1727941
15.84419714,667.2794118
15.84896661,661.7647059
15.85373609,653.4926471
15.85850556,643.8419118
15.86327504,634.1911765
15.86804452,623.1617647
15.87281399,613.5110294
15.87758347,605.2389706
15.88235294,598.3455882
15.88712242,590.0735294
15.89189189,583.1801471
15.89666137,576.2867647
15.90143084,570.7720588
15.90620032,565.2573529
15.91096979,559.7426471
15.91573927,552.8492647
15.92050874,547.3345588
15.92527822,543.1985294
15.93004769,537.6838235
15.93481717,533.5477941
15.93958665,528.0330882
15.94435612,523.8970588
15.9491256,519.7610294
15.95389507,514.2463235
15.95866455,510.1102941
15.96343402,505.9742647
15.9682035,500.4595588
15.97297297,496.3235294
15.97774245,492.1875
15.98251192,486.6727941
15.9872814,482.5367647
15.99205087,478.4007353
15.99682035,472.8860294
16.00158983,467.3713235
16.0063593,463.2352941
16.01112878,459.0992647
16.01589825,453.5845588
16.02066773,448.0698529
16.0254372,442.5551471
16.03020668,437.0404412
16.03497615,432.9044118
16.03974563,430.1470588
16.0445151,426.0110294
16.04928458,421.875
16.05405405,419.1176471
16.05882353,416.3602941
16.063593,413.6029412
16.06836248,409.4669118
16.07313196,405.3308824
16.07790143,402.5735294
16.08267091,399.8161765
16.08744038,397.0588235
16.09220986,392.9227941
16.09697933,391.5441176
16.10174881,390.1654412
16.10651828,387.4080882
16.11128776,384.6507353
16.11605723,383.2720588
16.12082671,381.8933824
16.12559618,379.1360294
16.13036566,377.7573529
16.13513514,375
16.13990461,373.6213235
16.14467409,370.8639706
16.14944356,369.4852941
16.15421304,368.1066176
16.15898251,365.3492647
16.16375199,362.5919118
16.16852146,361.2132353
16.17329094,359.8345588
