"?w/?w0,V wind",z
,m
0.001331853,1494.238156
0.001331853,1461.587708
0.001331853,1430.857875
0.001331853,1403.96927
0.001331853,1371.318822
0.001331853,1348.271447
0.001331853,1325.224072
0.001331853,1281.049936
0.001331853,1221.510883
0.002663707,1190.78105
0.002663707,1173.495519
0.00399556,1246.478873
0.005327414,1144.6863
0.005327414,1112.035851
0.005327414,1088.988476
0.005327414,1056.338028
0.005327414,1012.163892
0.005327414,981.4340589
0.005327414,952.6248399
0.006659267,902.6888604
0.007991121,873.8796415
0.009322974,923.815621
0.009322974,833.546735
0.009322974,808.5787452
0.009322974,764.4046095
0.009322974,741.3572343
0.010654828,716.3892446
0.011986681,681.8181818
0.011986681,651.0883483
0.014650388,624.1997439
0.017314095,595.390525
0.017314095,562.7400768
0.017314095,539.6927017
0.021309656,516.6453265
0.022641509,491.6773367
0.025305216,470.5505762
0.025305216,449.4238156
0.029300777,426.3764405
0.029300777,399.4878361
0.034628191,374.5198464
0.034628191,351.4724712
0.038623751,332.2663252
0.042619312,305.3777209
0.047946726,278.4891165
0.055937847,261.2035851
0.062597114,226.6325224
0.074583796,211.2676056
0.082574917,193.9820743
0.093229745,184.3790013
0.10654828,169.0140845
0.123862375,157.4903969
0.142508324,144.0460948
0.165149834,138.284251
0.186459489,124.8399488
0.211764706,117.1574904
0.242397336,109.475032
0.262375139,103.7131882
0.289012209,99.87195903
0.303662597,99.87195903
0.338290788,92.18950064
0.363596004,88.34827145
0.386237514,80.66581306
0.41154273,80.66581306
0.440843507,74.90396927
0.459489456,72.98335467
0.495449501,67.22151088
0.524750277,67.22151088
0.54872364,65.30089629
0.578024417,61.45966709
0.59800222,59.5390525
0.620643729,61.45966709
0.644617092,53.77720871
0.672586016,51.85659411
0.697891232,48.01536492
0.721864595,49.93597951
0.752497225,44.17413572
0.781798002,44.17413572
0.813762486,38.41229193
0.852386238,30.72983355
0.867036626,23.04737516
0.89900111,23.04737516
0.917647059,13.44430218
0.934961154,13.44430218
0.948279689,11.52368758
0.970921199,7.682458387
0.996226415,3.841229193
