uw/u2*,"z,total flux"
,m
-0.964404894,17.39690722
-0.958843159,9.664948454
-0.955506118,5.798969072
-0.955506118,27.06185567
-0.938820912,40.59278351
-0.915461624,65.72164948
-0.888765295,85.05154639
-0.874304783,104.3814433
-0.86429366,117.9123711
-0.850945495,129.5103093
-0.847608454,150.7731959
-0.843159066,168.1701031
-0.836484983,179.7680412
-0.825361513,193.2989691
-0.809788654,214.5618557
-0.802002225,239.6907216
-0.793103448,259.0206186
-0.779755284,276.4175258
-0.764182425,299.6134021
-0.748609566,322.8092784
-0.735261402,340.2061856
-0.72080089,361.4690722
-0.710789766,375
-0.697441602,400.128866
-0.684093437,423.3247423
-0.674082314,438.7886598
-0.662958843,450.3865979
-0.648498331,475.5154639
-0.632925473,494.8453608
-0.620689655,514.1752577
-0.608453838,531.5721649
-0.595105673,550.9020619
-0.585094549,566.3659794
-0.569521691,585.6958763
-0.551724138,612.757732
-0.537263626,635.9536082
-0.521690768,659.1494845
-0.507230256,680.4123711
-0.49054505,709.4072165
-0.482758621,724.871134
-0.467185762,740.3350515
-0.45272525,771.2628866
-0.438264739,794.4587629
-0.427141268,815.7216495
-0.416017798,838.9175258
-0.398220245,867.9123711
-0.388209121,889.1752577
-0.375973304,916.2371134
-0.360400445,937.5
-0.345939933,960.6958763
-0.333704116,991.6237113
-0.323692992,1009.020619
-0.308120133,1032.216495
-0.294771969,1057.345361
-0.278086763,1084.407216
-0.263626251,1113.402062
-0.256952169,1134.664948
-0.251390434,1148.195876
-0.240266963,1163.659794
-0.233592881,1177.190722
-0.223581758,1200.386598
-0.219132369,1219.716495
-0.204671858,1240.979381
-0.191323693,1258.376289
-0.184649611,1279.639175
-0.183537264,1295.103093
-0.167964405,1312.5
-0.147942158,1331.829897
-0.145717464,1355.025773
-0.142380423,1372.42268
-0.122358176,1389.819588
-0.104560623,1413.015464
-0.102335929,1442.010309
-0.102335929,1426.546392
-0.088987764,1457.474227
-0.078976641,1472.938144
-0.064516129,1480.670103
-0.045606229,1490.335052
-0.027808676,1490.335052
