"?w/?w0,horizontal wind",z
,m
0.006659267,1496.158771
0.021309656,1488.476312
0.037291898,1480.793854
0.050610433,1473.111396
0.065260821,1469.270166
0.077247503,1467.349552
0.08390677,1463.508323
0.089234184,1453.90525
0.105216426,1434.699104
0.114539401,1419.334187
0.13318535,1390.524968
0.155826859,1354.033291
0.179800222,1315.620999
0.203773585,1275.288092
0.226415094,1242.637644
0.246392897,1211.90781
0.265038846,1179.257362
0.285016648,1148.527529
0.304994451,1112.035851
0.32763596,1081.306018
0.348945616,1046.734955
0.375582686,1004.481434
0.418201998,943.021767
0.447502775,898.8476312
0.470144284,860.4353393
0.495449501,823.943662
0.523418424,783.6107554
0.551387347,745.1984635
0.579356271,702.9449424
0.600665927,672.2151088
0.62863485,631.8822023
0.659267481,591.5492958
0.676581576,560.8194622
0.701886792,526.2483995
0.721864595,497.4391805
0.73917869,468.6299616
0.751165372,451.3444302
0.771143174,418.6939821
0.795116537,384.1229193
0.807103219,368.7580026
0.824417314,338.028169
0.84572697,311.1395647
0.861709212,290.0128041
0.877691454,265.0448143
0.888346282,243.9180538
0.900332963,220.8706786
0.912319645,197.8233035
0.918978912,182.4583867
0.926970033,157.4903969
0.937624861,130.6017926
0.949611543,107.5544174
0.962930078,88.34827145
0.976248613,76.82458387
0.994894562,63.38028169
1.000221976,5.76184379
1.010876804,55.6978233
1.017536071,15.36491677
1.025527192,48.01536492
1.028190899,24.96798976
1.032186459,44.17413572
1.034850166,30.72983355
1.044173141,38.41229193
