Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
15,   0,0.0,352.,-162.,0.2096,0.0004, 30., 27., 26., 28., 28., 28.
15, 500,2.0,333.,-137.,0.1936,0.0092, 90., 84., 47., 74., 74., 59.
15,1000,2.0,323.,-146.,0.1890,0.0111,100., 93., 52., 82., 81., 67.
15,2000,2.0,318.,-128.,0.1891,0.0116,108.,101., 57., 90., 89., 73.
15,3000,2.0,313.,-127.,0.1880,0.0117,114.,105., 61., 94., 93., 78.
15,4000,2.0,312.,-123.,0.1894,0.0118,117.,110., 63., 97., 97., 81.
