Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
14,   0,0.0,472.,-281.,0.2094,0.0003, 34., 32., 31., 32., 32., 33.
14, 500,4.1,417.,-190.,0.1822,0.0156,135.,125., 65.,109.,108., 87.
14,1000,4.0,403.,-204.,0.1785,0.0173,148.,137., 71.,120.,119., 97.
14,2000,4.0,397.,-186.,0.1783,0.0178,159.,147., 79.,129.,128.,105.
14,3000,4.1,192.,-179.,0.1767,0.0180,168.,155., 84.,136.,136.,110.
14,4000,4.0,390.,-173.,0.1776,0.0181,172.,158., 87.,140.,139.,112.
14,5000,4.0,390.,-178.,0.1767,0.0183,177.,163., 91.,144.,144.,115.
