Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
62,   0,0.0,  0.,   0.,0.2085,0.0004, 25., 23., 22., 23., 23., 24.
62, 500,8.0,  0.,  20.,0.1705,0.0215,198.,178., 64.,148.,146., 25.
62,1000,8.0,  0.,  16.,0.1708,0.0209,217.,191., 67.,159.,159., 26.
62,2000,7.9,  0.,  21.,0.1727,0.0199,226.,206., 77.,172.,169., 28.
