Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
16,   0,0.0,356.,-133.,0.2090,0.0003, 22., 22., 22., 22., 22., 23.
16, 500,4.0,322., -99.,0.1751,0.0185,129.,120., 65.,108.,105., 75.
16,1000,4.0,312., -93.,0.1682,0.0224,144.,132., 73.,117.,116., 86.
16,2000,3.9,307., -83.,0.1669,0.0235,156.,144., 84.,128.,128., 95.
16,3000,4.0,298.,-102.,0.1654,0.0240,165.,152., 90.,136.,136.,100.
16,4000,4.0,296., -91.,0.1636,0.0243,172.,157., 96.,142.,142.,105.
16,5000,4.0,292.,-102.,0.1642,0.0250,181.,164., 96.,149.,147.,107.
16,6000,4.0,292.,-100.,0.1641,0.0248,187.,170., 97.,152.,151.,110.
