Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
35,   0,0.0,455.,-264.,0.2090,0.0003, 27., 25., 24., 25., 25., 26.
35, 500,2.0,432.,-236.,0.1976,0.0070, 45., 86., 55., 63., 62., 46.
35,1000,2.0,424.,-228.,0.1947,0.0083, 52., 95., 61., 70., 70., 52.
35,2000,2.0,416.,-225.,0.1936,0.0086, 61.,104., 68., 78., 78., 59.
35,3000,2.0,413.,-220.,0.1937,0.0087, 67.,111., 73., 84., 83., 63.
35,4000,2.0,408.,-226.,0.1932,0.0087, 71.,115., 76., 88., 87., 66.
