Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
 8,   0,0.0,  0.,   0.,0.2097,0.0005, 32., 30., 29., 30., 30., 37.
 8, 100,4.0,  0.,  32.,0.1980,0.0070,111., 94., 60., 89., 87., 37.
 8, 200,4.0,  0.,  12.,0.1870,0.0140,134.,117., 81.,111.,108., 38.
 8, 300,4.0,  0.,  10.,0.1740,0.0200,145.,128., 88.,121.,118., 38.
 8, 400,4.0,  0.,  30.,0.1610,0.0270,153.,135., 94.,127.,125., 38.
 8, 500,4.0,  0.,   7.,0.1540,0.0310,158.,140., 96.,132.,131., 37.
