Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
18,   0,0.0,463.,-262.,0.2101,0.0004, 30., 27., 27., 28., 28., 28.
18, 500,4.0,421.,-189.,0.1822,0.0155, 66.,170., 76.,105.,104., 68.
18,1000,4.0,419.,-173.,0.1775,0.0176, 81.,183., 86.,116.,117., 78.
18,2000,4.0,406.,-187.,0.1773,0.0179, 95.,200., 97.,130.,131., 89.
18,3000,4.0,398.,-183.,0.1763,0.0180,106.,208.,102.,138.,139., 95.
18,4000,4.0,392.,-193.,0.1762,0.0183,113.,215.,106.,144.,145.,100.
