Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
53,   0,0.0,214., -67.,0.2098,0.0004, 41., 41., 39., 40., 40., 41.
53, 500,4.0,202., -43.,0.1791,0.0171, 64.,189.,121.,123.,125., 63.
53,1000,4.0,197., -55.,0.1582,0.0280, 77.,209.,134.,139.,140., 71.
