Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
31,   0,0.0,576.,-414.,0.2090,0.0005, 34., 33., 33., 33., 33., 37.
31, 500,5.0,517.,-319.,0.1799,0.0167, 79.,169.,103.,123.,117., 84.
31,1000,5.1,498.,-296.,0.1760,0.0185, 94.,186.,116.,135.,132., 96.
31,2000,5.0,482.,-295.,0.1754,0.0190,113.,202.,129.,150.,148.,110.
31,3000,5.0,473.,-279.,0.1743,0.0192,123.,216.,137.,160.,159.,117.
31,4000,5.0,468.,-276.,0.1743,0.0193,131.,219.,144.,166.,165.,122.
