Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
24,   0,0.0,235., -71.,0.2091,0.0005, 25., 25., 25., 25., 25., 29.
24, 500,4.1,221., -34.,0.1748,0.0196, 52.,183.,102.,116.,112., 57.
24,1000,4.0,217., -43.,0.1558,0.0294, 66.,199.,114.,127.,126., 64.
