Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
 5,   0,0.0,  0.,   0.,0.2085,0.0005, 27., 26., 25., 26., 26., 30.
 5, 100,1.0,  0.,   8.,0.2070,0.0020, 42., 35., 26., 35., 33., 30.
 5, 200,1.0,  0.,   9.,0.2040,0.0030, 54., 48., 34., 46., 44., 30.
 5, 300,1.0,  0.,  14.,0.2020,0.0040, 60., 53., 39., 51., 49., 30.
 5, 400,1.0,  0.,  14.,0.2000,0.0050, 63., 56., 42., 54., 52., 30.
 5, 500,1.0,  0.,  11.,0.1980,0.0070, 66., 59., 44., 56., 54., 30.
 5,1000,1.0,  0.,  14.,0.1860,0.0140, 72., 66., 49., 62., 61., 30.
 5,1500,1.0,  0.,  23.,0.1720,0.0200, 78., 70., 53., 67., 65., 29.
 5,2000,1.1,  0.,  13.,0.1590,0.0260, 80., 74., 56., 70., 69., 30.
 5,2500,1.0,  0.,  11.,0.1480,0.0320, 84., 77., 59., 73., 72., 29.
