Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
26,   0,0.0,586.,-420.,0.2098,0.0004, 27., 25., 25., 25., 25., 28.
26, 500,4.0,530.,-337.,0.1870,0.0130, 63.,137., 82., 98., 94., 67.
26,1000,4.0,516.,-313.,0.1843,0.0145, 76.,152., 92.,110.,107., 77.
26,2000,4.0,501.,-308.,0.1834,0.0149, 92.,165.,103.,125.,120., 88.
26,3000,4.0,493.,-291.,0.1834,0.0152,102.,175.,110.,134.,129., 94.
26,4000,4.0,490.,-311.,0.1829,0.0154,108.,181.,116.,139.,135., 97.
