Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
 7,   0,0.0,  0.,   0.,0.2099,0.0004, 26., 25., 24., 25., 25., 35.
 7, 100,2.0,  0.,  14.,0.2040,0.0040, 63., 54., 35., 52., 51., 36.
 7, 200,2.0,  0.,  17.,0.2000,0.0060, 81., 70., 49., 67., 66., 37.
 7, 300,2.0,  0.,  17.,0.1950,0.0090, 88., 78., 55., 74., 73., 37.
 7, 400,2.0,  0.,  13.,0.1900,0.0120, 94., 82., 59., 79., 77., 37.
 7, 500,2.0,  0.,  14.,0.1840,0.0150, 98., 87., 62., 82., 81., 37.
 7,1000,2.0,  0.,  15.,0.1560,0.0290,110., 98., 71., 93., 92., 38.
