Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
34,   0,0.0,342.,-161.,0.2085,0.0003, 39., 39., 37., 38., 38., 40.
34, 500,2.0,327.,-144.,0.1963,0.0078, 54.,107., 71., 80., 77., 57.
34,1000,2.0,324.,-134.,0.1915,0.0103, 61.,116., 77., 87., 85., 62.
34,2000,2.0,319.,-134.,0.1896,0.0110, 70.,125., 85., 95., 93., 68.
34,3000,2.0,316.,-138.,0.1898,0.0112, 76.,130., 89.,100., 98., 71.
34,4000,2.0,315.,-126.,0.1901,0.0112, 79.,133., 93.,103.,102., 73.
