Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
17,   0,0.0,587.,-405.,0.2082,0.0004, 34., 31., 31., 32., 32., 32.
17, 500,4.0,530.,-324.,0.1851,0.0135, 73.,160., 72.,106.,102., 75.
17,1000,4.0,517.,-318.,0.1832,0.0148, 86.,177., 80.,118.,114., 85.
17,2000,4.0,505.,-296.,0.1821,0.0151,101.,187., 88.,129.,125., 94.
17,3000,4.0,500.,-321.,0.1834,0.0153,111.,197., 92.,135.,134.,100.
