Test,Time,Fuel Flow,Air Flow,Pressure,O2,CO2,West Upper TCs,West Middle TCs,West Bottom TCs,West TC Average,East TC Average,Exit Duct TC
No.,s,g/s,g/s,Pa,mol/mol,mol/mol,C,C,C,C,C,C
61,   0,0.0,  0.,   0.,0.2094,0.0003, 28., 28., 27., 27., 28., 36.
61, 500,4.0,  0.,   6.,0.1862,0.0133,132.,119., 57.,103.,103., 36.
61,1000,4.0,  0.,   7.,0.1874,0.0128,141.,131., 61.,112.,111., 36.
61,2000,4.0,  0.,  10.,0.1886,0.0124,149.,137., 62.,118.,116., 37.
