"Time_1","HRR_1","Time_2","HRR_2","Time_3","HRR_3","Time_4","HRR_4","Time_5","HRR_5","Time_6","HRR_6","Time_7","HRR_7","Time_8","HRR_8","Time_9","HRR_9","Time_10","HRR_10","Time_11","HRR_11","Time_12","HRR_12","Time_13","HRR_13","Time_14","HRR_14","Time_15","HRR_15","Time_16","HRR_16","Time_17","HRR_17","Time_18","HRR_18","Time_19","HRR_19","Time_20","HRR_20","Time_21","HRR_21","Time_22","HRR_22","Time_23","HRR_23","Time_24","HRR_24","Time_25","HRR_25","Time_26","HRR_26","Time_27","HRR_27","Time_28","HRR_28","Time_29","HRR_29","Time_30","HRR_30","Time_31","HRR_31","Time_32","HRR_32","Time_33","HRR_33","Time_34","HRR_34","Time_35","HRR_35","Time_36","HRR_36","Time_37","HRR_37","Time_38","HRR_38","Time_39","HRR_39","Time_40","HRR_40","Time_41","HRR_41","Time_42","HRR_42","Time_43","HRR_43","Time_44","HRR_44","Time_45","HRR_45","Time_46","HRR_46","Time_47","HRR_47","Time_48","HRR_48","Time_49","HRR_49","Time_50","HRR_50","Time_51","HRR_51","Time_52","HRR_52","Time_53","HRR_53","Time_54","HRR_54","Time_55","HRR_55","Time_56","HRR_56","Time_57","HRR_57","Time_58","HRR_58","Time_59","HRR_59","Time_60","HRR_60","Time_61","HRR_61","Time_62","HRR_62","Time_63","HRR_63","Time_64","HRR_64"
0,200,0,200,0,400,0,300,0,50,0,100,0,100,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,100,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,150,0,250,0,250,0,250,0,100,0,100,0,100,0,100,0,100,0,200,0,200,0,250,0,200,0,150,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,200,0,100,0,200,0,200,0,200,0,200,0,400,0,200,0,400,0,50,0,100
560,200,545,200,300,400,385,300,2770,50,1295,100,1240,100,555,200,4220,200,6050,200,4780,200,5440,200,5150,200,5090,200,4070,100,6560,200,3980,200,4840,200,5110,200,6570,200,6570,200,950,200,4260,200,1480,200,2050,200,4100,200,540,200,1870,150,1520,250,4080,250,4160,250,4110,100,5100,100,4280,100,4110,100,4060,100,520,200,4100,200,430,250,4290,200,970,150,5120,200,570,200,2670,200,810,200,960,200,730,200,520,200,970,200,4730,200,3360,200,4680,200,1540,200,4180,200,4120,100,1240,200,5390,200,4090,200,4090,200,2680,400,2730,200,2660,400,3240,50,3570,100
560,0,545,0,300,0,385,0,2770,0,1295,0,1240,0,555,0,4220,0,6050,0,4780,0,5440,0,5150,0,5090,0,4070,0,6560,0,3980,0,4840,0,5110,0,6570,0,6570,0,950,0,4260,0,1480,0,2050,0,4100,0,540,0,1870,0,1520,0,4080,0,4160,0,4110,0,5100,0,4280,0,4110,0,4060,0,520,0,4100,0,430,0,4290,0,970,0,5120,0,570,0,2670,0,810,0,960,0,730,0,520,0,970,0,4730,0,3360,0,4680,0,1540,0,4180,0,4120,0,1240,0,5390,0,4090,0,4090,0,2680,0,2730,0,2660,0,3240,0,3570,0
