Time_4_35,HRR_4_35,Time_4_50,HRR_4_50,Time_4_70,HRR_4_70
0,1.95,0,1.95,0,0
4.3,1.95,4.1,1.95,4.1,1.95
8.6,1.95,8.2,5.85,8.2,0
13,0,12.2,5.85,12.2,3.9
17.3,1.95,16.3,3.9,16.3,5.85
21.6,1.95,20.4,3.9,20.4,66.3
25.9,1.95,24.5,3.9,24.5,220.35
30.2,1.95,28.6,3.9,28.6,450.45
34.6,1.95,32.6,3.9,32.6,526.5
38.9,1.95,36.7,3.9,36.7,604.5
43.2,1.95,40.8,3.9,40.8,631.8
47.5,1.95,44.9,1.95,44.9,663
51.8,3.9,49,42.9,49,635.7
56.2,3.9,53,278.85,53,604.5
60.5,1.95,57.1,368.55,57.1,528.45
64.8,1.95,61.2,450.45,61.2,512.85
69.1,1.95,65.3,571.35,65.3,477.75
73.4,1.95,69.4,614.25,69.4,448.5
77.8,1.95,73.4,645.45,73.4,446.55
82.1,1.95,77.5,602.55,77.5,432.9
86.4,1.95,81.6,606.45,81.6,444.6
90.7,3.9,85.7,586.95,85.7,438.75
95,7.8,89.8,549.9,89.8,429
99.4,5.85,93.8,516.75,93.8,438.75
103.7,3.9,97.9,440.7,97.9,415.35
108,23.4,102,405.6,102,413.4
112.3,128.7,106.1,391.95,106.1,415.35
116.6,325.65,110.2,374.4,110.2,419.25
121,409.5,114.2,368.55,114.2,415.35
125.3,538.2,118.3,380.25,118.3,427.05
129.6,546,122.4,380.25,122.4,430.95
133.9,592.8,126.5,384.15,126.5,440.7
138.2,608.4,130.6,374.4,130.6,444.6
142.6,563.55,134.6,374.4,134.6,454.35
146.9,565.5,138.7,370.5,138.7,462.15
151.2,540.15,142.8,382.2,142.8,462.15
155.5,503.1,146.9,384.15,146.9,456.3
159.8,503.1,151,388.05,151,446.55
164.2,458.25,155,393.9,155,446.55
168.5,434.85,159.1,395.85,159.1,456.3
172.8,380.25,163.2,405.6,163.2,446.55
177.1,378.3,167.3,407.55,167.3,425.1
181.4,368.55,171.4,407.55,171.4,388.05
185.8,364.65,175.4,421.2,175.4,351
190.1,366.6,179.5,419.25,179.5,263.25
194.4,362.7,183.6,417.3,183.6,218.4
198.7,360.75,187.7,434.85,187.7,134.55
203,370.5,191.8,423.15,191.8,99.45
207.4,372.45,195.8,430.95,195.8,72.15
211.7,374.4,199.9,417.3,199.9,48.75
216,382.2,204,403.65,204,44.85
220.3,376.35,208.1,388.05,208.1,44.85
224.6,380.25,212.2,331.5,212.2,44.85
229,376.35,216.2,296.4,216.2,44.85
233.3,376.35,220.3,261.3,220.3,42.9
237.6,378.3,224.4,202.8,224.4,42.9
241.9,386.1,228.5,167.7,228.5,42.9
246.2,374.4,232.6,111.15,232.6,40.95
250.6,360.75,236.6,91.65,236.6,40.95
254.9,356.85,240.7,74.1,240.7,39
259.2,343.2,244.8,50.7,244.8,39
263.5,339.3,248.9,40.95,248.9,39
267.8,333.45,253,37.05,253,37.05
272.2,306.15,257,33.15,257,37.05
276.5,286.65,261.1,35.1,261.1,35.1
280.8,261.3,265.2,33.15,265.2,35.1
285.1,249.6,269.3,35.1,269.3,35.1
289.4,232.05,273.4,35.1,273.4,33.15
293.8,187.2,277.4,33.15,277.4,33.15
298.1,167.7,281.5,33.15,281.5,31.2
302.4,134.55,285.6,33.15,285.6,31.2
306.7,117,289.7,33.15,289.7,29.25
311,89.7,293.8,31.2,293.8,27.3
315.4,76.05,297.8,31.2,297.8,29.25
319.7,58.5,301.9,31.2,301.9,27.3
324,52.65,306,31.2,306,25.35
328.3,44.85,310.1,31.2,310.1,25.35
332.6,33.15,314.2,27.3,314.2,23.4
337,31.2,318.2,27.3,318.2,23.4
341.3,29.25,322.3,29.25,322.3,21.45
345.6,29.25,326.4,25.35,326.4,21.45
349.9,31.2,330.5,27.3,330.5,19.5
354.2,31.2,334.6,25.35,334.6,17.55
358.6,29.25,338.6,25.35,338.6,17.55
362.9,29.25,342.7,25.35,342.7,17.55
367.2,31.2,346.8,23.4,346.8,15.6
371.5,29.25,350.9,21.45,350.9,15.6
375.8,29.25,355,21.45,355,13.65
380.2,27.3,359,21.45,359,9.75
384.5,29.25,363.1,19.5,363.1,9.75
388.8,29.25,367.2,19.5,367.2,9.75
393.1,27.3,371.3,17.55,371.3,7.8
397.4,27.3,375.4,17.55,375.4,5.85
401.8,25.35,379.4,15.6,379.4,5.85
406.1,25.35,383.5,11.7,383.5,13.65
410.4,23.4,387.6,11.7,387.6,11.7
414.7,23.4,391.7,7.8,391.7,7.8
419,23.4,395.8,5.85,395.8,5.85
423.4,25.35,399.8,3.9,399.8,3.9
427.7,23.4,403.9,1.95,403.9,1.95
432,21.45,408,0,408,0
