Time_3_25,HRR_3_25,Time_8_24,HRR_8_24,Time_27_23,HRR_27_23,Time_3_50,HRR_3_50,Time_8_49,HRR_8_49,Time_27_46,HRR_27_46,Time_3_75,HRR_3_75,Time_8_73,HRR_8_73,Time_27_69,HRR_27_69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,0,5.6,0,12.1,0,3.1,0,6.7,0,18.8,0,2.1,0,2.7,0,13.4,0
22.3,0,42.2,0,103.4,0,11.2,0,24.7,0,51.1,0,8.4,0,16.6,0,13.7,0
37.7,0,78,0,192.9,0,19,0,42.7,0,52.8,0,14.5,0,23.5,84.5,18.9,105.9
53,0,113.9,0,282.5,0,26.6,0,54.3,0,52.9,147.5,21.1,0,26.2,188.9,22.1,177.5
68.3,0,149.7,0,300,0,34.3,0,55,27.6,54.1,222.2,24.5,12,28.4,310.2,23.5,250.6
83.6,0,185.6,0,315.1,122.3,41.9,0,56,91.7,57.9,419.4,26.1,71.1,32.1,423.7,29.7,332.7
99,0,221.4,0,317.1,272.7,49,6.5,57.4,162.6,58.2,274,28.3,129,34.1,510.4,31.9,377
114.3,0,252.2,4.1,319.2,238.4,52.1,52.6,60.2,199,60.1,334.3,29.5,177.6,38.4,583.2,34.7,428.9
129.6,0,255.6,67.1,319.5,195.1,53.9,116.9,61.9,266.3,61.8,379,30.2,247.1,46.1,636.2,36.1,493.3
145,0,256.2,109.6,325.3,318.4,54.9,173.1,63,330.3,75.9,470.1,30.9,297.5,57.3,677.5,38.9,556.9
160.3,0,256.6,34.5,332.4,360.4,55.8,240.1,65.2,384.8,119.5,516.5,32.4,347,68.8,694.9,40.3,603.9
176.2,0,260.5,129.5,344.2,426.8,57.6,309.8,70,425.9,161.5,536.7,33.1,437.8,82.7,674.1,49.5,654.5
185.4,0,261.9,201.4,350.5,395.1,59.8,371.2,80.6,453,205.7,554.5,37,509.8,95,699.6,67.9,702.4
187.3,24.6,262.5,165.5,439.5,402.2,63.6,417.7,95.7,457.3,246,539.5,38.5,546.3,104.5,710.2,82.6,669.1
189.1,50.8,263.4,248.5,523.7,411.5,69.9,476,114.6,480.5,286.2,547.6,41.5,609.4,116.5,721.6,95.9,729.5
189.7,86,263.8,271.2,613,403.4,76.7,513.5,132.8,502,334.9,560.1,46.1,660,128.2,717.9,115.3,760.4
191.6,134.7,265.4,317.7,706,391.2,81.4,556.2,150.6,517.9,381.7,571.2,52,698,137.1,765.7,141.4,759.4
192.5,162.9,266.1,356.2,788.6,377.2,88.3,583,168.5,541.2,424.8,568.2,59,745.7,157.6,790.7,172.8,762.9
194,228.3,275.4,402.7,827,365,93.3,634.2,187.9,557.9,473.1,576.2,64,763.3,171.2,795.7,209,740
196.2,302.5,281.9,427.5,909.6,365.4,99.2,656.7,203.2,566.6,515.8,575.9,67.6,819.5,174.9,735.1,240.2,740
197.7,349.9,286.6,449,999.1,365.2,102.8,646.7,222.2,585.9,546.9,569.7,72.9,862.1,180.7,701,270.3,738.2
204,389.5,315.1,420.4,1088.7,370.6,105.4,691.9,241.6,585.2,581.5,581.4,77.9,920.2,190,764.1,300.3,738.2
213.7,417,327.7,450,1175.2,375.5,109.3,735.1,259,603.7,619.5,600,82.1,989.8,197.9,814.3,329.1,743.5
224.6,445.9,342,424.8,1281.2,377,113.3,739.1,276.1,630.8,655.4,585.7,86.7,1041.1,207.6,834.3,366.4,747.1
238.2,455.6,356.4,471,1369,381.9,115.8,772.9,293.7,621.6,699.3,587.8,91.2,1078.3,213.9,878.4,410.8,745.3
249.1,490.4,373,464.9,1455.2,381.4,122.9,793.6,312.7,640,746.1,602.1,96,1132.8,224.3,892.3,481.7,745.3
254.9,520.5,392.9,490.4,1544.7,387.1,125.6,834.6,330.6,671,788,610.2,99.3,1166.8,233,822.5,526.1,768.4
261.8,550.5,426.7,492.1,1632.8,392.9,130.7,882.9,340.9,660.5,819.6,598.9,100.9,1107.5,245.1,862.4,582.1,766
276,560.9,463.3,493.5,1731.5,408.8,135.5,898.6,348.7,694.7,861.5,616.7,102.9,1036.8,250,899.1,612.6,770.6
287.7,582.4,500.2,499.8,1800.4,421.3,142.6,908,364,721.4,908.2,624.8,104.2,993.6,259.3,939.8,645.8,766
293.4,566.8,536.4,506.4,1890.4,418.9,146.1,848.5,370.3,773.3,953.6,627.5,106,926.6,270.3,954,674,769.1
305,563.1,569.5,501.3,1980.9,426.5,150,814,383.4,788.6,998.6,638.1,107.5,884.8,281.2,1011.2,703.2,769.1
