Time_3_25,HRR_3_25,Time_8_24,HRR_8_24,Time_27_23,HRR_27_23,Time_3_50,HRR_3_50,Time_8_49,HRR_8_49,Time_27_46,HRR_27_46,Time_3_75,HRR_3_75,Time_8_73,HRR_8_73,Time_27_69,HRR_27_69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.7,0,6.6,0,16.6,0,2.1,0,3.1,0,8.1,0,1.2,0,2.7,0,8.7,0
18.6,0,33.2,0,94.5,0.6,10,0,20,0,36.5,5.1,6,0,13.1,0,8.8,54.5
31.4,0,58.8,0,177.3,2.1,17.9,0,40.5,0,38.2,56.2,11.7,0,22.8,0,11.6,204.8
44.2,0,84.3,0,215.5,122.5,25.3,0,45.6,60.7,40.2,120.8,16.6,0,24.8,98.3,12,101.8
57,0,109.9,0,215.9,88.6,32.8,0,46.4,121.1,44.9,181.6,20.6,0,25.9,176,12.4,157.5
69.7,0,135.4,0,216.3,44.7,40.7,0,49.2,184.7,47.8,227.3,22.6,84.3,26.6,256.8,15.3,288.05
82.5,0,157.5,0,218.2,160.6,44.5,45,54.3,262.9,51,289.1,24.7,168.2,29.8,320.1,24.4,376.5
95.3,0,162.9,0,221.9,196.8,45.6,113.5,57.7,319.7,55,341.5,27.6,246.1,32.8,400.5,28,442.1
108.5,0,163.4,20.7,223.6,5.7,47.7,162,68.6,360.4,64.2,383.1,29.6,331.1,37.8,494.8,29.9,514.7
113.7,26.5,166.1,83.3,225.1,225.1,49.9,233.4,83.6,382.8,90.9,422.8,32.3,411.3,47.5,540.6,38.3,585.4
116.1,43.2,168.8,135.2,228.2,261.3,53.3,291.9,95.9,424.9,102.1,457.9,34.8,474.3,58.3,580,57,631.8
117.4,67.1,169.2,117,255.2,287.9,56.7,340,111.6,434.9,135.4,491.4,38,530.5,66.5,598.5,87.9,624.5
119.4,95.4,171.2,161.8,294.3,289.3,59.9,392.8,127,454.8,170.3,497.2,40.3,542.4,67.5,544,98.4,677.6
121.9,127.2,172.5,196.9,304,315.5,63.4,428.1,142.2,473.9,170.8,531,42.4,604.1,71.7,597.5,110.2,753.5
123.7,153,176.8,235.2,343,311.7,69.4,464.6,149.5,502.6,210.7,535.8,46.6,644.9,76.4,659.6,122.7,799.4
126.7,175.3,185.8,269.4,362.1,341.7,76.1,491.7,161.2,487.8,252.8,556.3,50.1,703.1,86.2,698.3,144.6,800.1
129.7,204.9,194.9,292.2,417.8,353.8,83.9,501.3,174,530.3,290.8,551.9,55.4,721.1,96.8,714.4,146.4,709.8
134.5,241.1,216.6,308.8,455,336.5,92,536.4,181.7,554.6,323.6,497.6,60.1,751.4,106.4,715.6,173.2,716.1
141,268.2,232.5,332.7,498.8,314.5,97,575.9,196.9,563.3,336,564.2,64.1,802.6,110.4,693.5,200.4,800.1
151.5,288,251.1,349.1,526.5,300.3,102.2,607.1,212.9,576.5,353.5,503.8,69.3,842.3,120.4,701.9,205.9,725.4
161.2,305.3,255.4,323.7,590.2,306.1,108.1,666,226.7,597.6,373.4,561.3,73.2,860.9,129.4,728,224,738.4
171.9,335.8,262,309.9,621.6,282.5,111.6,700.3,243.1,634.2,409.3,551.7,75.5,850,140.5,753.7,232.1,817.4
178.5,361.2,280.5,332,665.5,309.1,115.4,706.6,259.2,632.1,413.1,573.3,77.7,941.7,150.9,772.5,261.2,826.2
187.1,386.8,296.2,313.9,672.2,333.1,116.8,749,273.7,656.3,432.7,509.8,80.6,920.7,159,806.4,292.5,831
192.4,398.4,317.2,302.9,743.9,332.3,122.6,789.1,280,635.1,447.7,559.9,82.9,993.3,168.6,803.4,317.5,757.6
194,423.2,332.4,294.4,802,322.5,128.2,840.2,294.1,655.7,455.9,581.7,85.5,1004.4,179.3,857,323.2,829.8
200.5,421.8,339.8,318.6,867.4,325.3,130.2,813.4,308.8,662.7,496,578.4,87.6,1043.4,189,842.1,351.1,845.6
205.2,454.2,353.5,351.8,900.4,312.1,135.8,863.9,325.4,668.6,519.9,566.1,88.9,1142,190.3,909.7,364.1,748.9
