Time,HRRPUA
0.0,0.0
8.8,0.0
17.6,0.0
26.3,0.0
35.1,0.0
43.9,104.7
52.7,105.6
61.4,102.4
70.2,96.5
79.0,100.2
87.8,100.0
96.5,100.8
105.3,101.1
114.1,106.6
122.9,112.1
131.6,116.2
140.4,115.9
149.2,112.5
158.0,104.8
166.7,91.2
175.5,78.2
184.3,57.3
193.1,36.8
201.8,31.7
210.6,34.8
219.4,42.7
228.2,50.3
236.9,55.9
245.7,58.0
254.5,55.9
263.3,50.6
272.0,44.4
280.8,37.3
289.6,30.9
298.4,26.2
307.1,23.4
315.9,20.6
324.7,16.9
333.5,16.7
342.2,16.0
351.0,15.8
359.8,15.5
368.6,15.3
377.3,15.0
386.1,15.0
394.9,14.3
403.7,14.2
412.4,14.1
421.2,13.8
430.0,13.4
