Time_4_35,HRR_4_35,Time_4_50,HRR_4_50,Time_4_70,HRR_4_70
0,0,0,5.85,0,0
3.8,0,3.8,3.9,2.8,0
7.6,0,7.6,3.9,5.6,1.95
11.4,0,11.4,3.9,8.4,1.95
15.2,0,15.2,1.95,11.2,1.95
19,0,19,1.95,14.1,3.9
22.7,0,22.7,5.85,16.9,7.8
26.5,0,26.5,5.85,19.7,9.75
30.3,0,30.3,7.8,22.5,9.75
34.1,0,34.1,9.75,25.3,9.75
37.9,0,37.9,9.75,28.1,7.8
41.7,0,41.7,7.8,30.9,13.65
45.5,0,45.5,5.85,33.7,74.1
49.3,0,49.3,5.85,36.5,157.95
53.1,0,53.1,5.85,39.3,234
56.9,0,56.9,39,42.2,313.95
60.6,0,60.6,140.4,45,354.9
64.4,0,64.4,224.25,47.8,409.5
68.2,0,68.2,333.45,50.6,456.3
72,0,72,403.65,53.4,499.2
75.8,0,75.8,434.85,56.2,546
79.6,0,79.6,466.05,59,588.9
83.4,0,83.4,495.3,61.8,608.4
87.2,0,87.2,542.1,64.6,666.9
91,0,91,583.05,67.4,721.5
94.8,0,94.8,647.4,70.3,801.45
98.5,0,98.5,709.8,73.1,844.35
102.3,1.95,102.3,762.45,75.9,883.35
106.1,3.9,106.1,828.75,78.7,990.6
109.9,7.8,109.9,875.55,81.5,1095.9
113.7,9.75,113.7,943.8,84.3,1166.1
117.5,9.75,117.5,994.5,87.1,1179.75
121.3,9.75,121.3,1027.65,89.9,1240.2
125.1,7.8,125.1,1084.2,92.7,1218.75
128.9,9.75,128.9,1119.3,95.5,1400.1
132.7,50.7,132.7,1207.05,98.4,1308.45
136.4,118.95,136.4,1251.9,101.2,1345.5
140.2,193.05,140.2,1320.15,104,1404
144,257.4,144,1374.75,106.8,1468.35
147.8,315.9,147.8,1269.45,109.6,1528.8
151.6,349.05,151.6,1218.75,112.4,1647.75
155.4,388.05,155.4,1123.2,115.2,1517.1
159.2,425.1,159.2,943.8,118,1540.5
163,456.3,163,715.65,120.8,1435.2
166.8,471.9,166.8,434.85,123.6,1267.5
170.6,485.55,170.6,237.9,126.5,846.3
174.3,507,174.3,154.05,129.3,610.35
178.1,551.85,178.1,93.6,132.1,313.95
181.9,592.8,181.9,64.35,134.9,204.75
185.7,635.7,185.7,46.8,137.7,118.95
189.5,680.55,189.5,40.95,140.5,79.95
193.3,733.2,193.3,37.05,143.3,60.45
197.1,762.45,197.1,33.15,146.1,52.65
200.9,824.85,200.9,33.15,148.9,48.75
204.7,865.8,204.7,33.15,151.7,44.85
208.5,906.75,208.5,31.2,154.6,42.9
212.2,930.15,212.2,31.2,157.4,40.95
216,957.45,216,31.2,160.2,39
219.8,943.8,219.8,29.25,163,39
223.6,967.2,223.6,29.25,165.8,37.05
227.4,973.05,227.4,27.3,168.6,37.05
231.2,988.65,231.2,27.3,171.4,37.05
235,973.05,235,27.3,174.2,35.1
238.8,957.45,238.8,27.3,177,35.1
242.6,930.15,242.6,25.35,179.8,35.1
246.4,922.35,246.4,25.35,182.7,35.1
250.1,883.35,250.1,25.35,185.5,33.15
253.9,828.75,253.9,25.35,188.3,33.15
257.7,692.25,257.7,25.35,191.1,33.15
261.5,538.2,261.5,23.4,193.9,33.15
265.3,384.15,265.3,21.45,196.7,31.2
269.1,232.05,269.1,19.5,199.5,31.2
272.9,144.3,272.9,19.5,202.3,31.2
276.7,93.6,276.7,17.55,205.1,31.2
280.5,74.1,280.5,15.6,207.9,29.25
284.3,56.55,284.3,9.75,210.8,29.25
288,46.8,288,9.75,213.6,29.25
291.8,39,291.8,13.65,216.4,27.3
295.6,35.1,295.6,17.55,219.2,27.3
299.4,35.1,299.4,17.55,222,27.3
303.2,33.15,303.2,17.55,224.8,25.35
307,31.2,307,15.6,227.6,25.35
310.8,29.25,310.8,15.6,230.4,25.35
314.6,27.3,314.6,13.65,233.2,25.35
318.4,25.35,318.4,15.6,236,25.35
322.2,25.35,322.2,15.6,238.9,25.35
325.9,25.35,325.9,15.6,241.7,25.35
329.7,23.4,329.7,13.65,244.5,25.35
333.5,23.4,333.5,13.65,247.3,25.35
337.3,21.45,337.3,11.7,250.1,25.35
341.1,21.45,341.1,11.7,252.9,23.4
344.9,21.45,344.9,11.7,255.7,23.4
348.7,21.45,348.7,11.7,258.5,23.4
352.5,19.5,352.5,11.7,261.3,23.4
356.3,19.5,356.3,11.7,264.1,21.45
360.1,17.55,360.1,11.7,267,17.55
363.8,17.55,363.8,11.7,269.8,13.65
367.6,17.55,367.6,9.75,272.6,9.75
371.4,17.55,371.4,9.75,275.4,7.8
375.2,15.6,375.2,11.7,278.2,5.85
379,13.65,379,9.75,281,5.85
