Time,HRR
0.0,0.0
32.0,0.0
33.0,323.9
33.0,323.9
34.0,357.1
34.0,357.1
35.0,385.8
35.0,385.8
36.0,408.4
36.0,408.4
37.0,426.5
37.0,426.5
38.0,441.9
38.0,441.9
39.0,453.5
39.0,453.5
40.0,460.8
40.0,460.8
41.0,464.0
41.0,464.0
42.0,464.2
42.0,464.2
43.0,462.2
43.0,462.2
44.0,458.1
44.0,458.1
45.0,453.4
45.0,453.4
46.0,449.2
46.0,449.2
47.0,444.9
47.0,444.9
48.0,439.8
48.0,439.8
49.0,434.9
49.0,434.9
50.0,430.7
50.0,430.7
51.0,427.7
51.0,427.7
52.0,426.3
52.0,426.3
53.0,426.1
53.0,426.1
54.0,426.2
55.0,426.2
56.0,426.4
56.0,426.4
57.0,427.2
57.0,427.2
58.0,429.7
58.0,429.7
59.0,433.3
59.0,433.3
60.0,437.3
60.0,437.3
61.0,442.0
61.0,442.0
62.0,447.1
62.0,447.1
63.0,452.1
63.0,452.1
64.0,457.6
64.0,457.6
65.0,462.7
65.0,462.7
66.0,467.3
66.0,467.3
67.0,472.1
67.0,472.1
68.0,476.5
68.0,476.5
69.0,480.1
69.0,480.1
70.0,483.2
70.0,483.2
71.0,485.5
71.0,485.5
72.0,486.8
72.0,486.8
73.0,488.7
73.0,488.7
74.0,491.6
74.0,491.6
75.0,495.3
75.0,495.3
76.0,499.9
76.0,499.9
77.0,504.7
77.0,504.7
78.0,509.3
78.0,509.3
79.0,513.4
79.0,513.4
80.0,517.6
80.0,517.6
81.0,523.1
81.0,523.1
82.0,529.8
82.0,529.8
83.0,536.3
83.0,536.3
84.0,542.5
84.0,542.5
85.0,548.3
85.0,548.3
86.0,553.0
86.0,553.0
87.0,557.2
87.0,557.2
88.0,561.3
88.0,561.3
89.0,565.9
89.0,565.9
90.0,571.1
90.0,571.1
91.0,574.8
91.0,574.8
92.0,576.9
92.0,576.9
93.0,578.5
93.0,578.5
94.0,580.1
94.0,580.1
95.0,582.8
95.0,582.8
96.0,586.2
96.0,586.2
97.0,588.5
97.0,588.5
98.0,590.6
98.0,590.6
99.0,593.6
99.0,593.6
100.0,596.5
100.0,596.5
101.0,598.9
101.0,598.9
102.0,601.3
102.0,601.3
103.0,602.8
103.0,602.8
104.0,602.5
104.0,602.5
105.0,600.0
105.0,600.0
106.0,596.1
106.0,596.1
107.0,592.0
107.0,592.0
108.0,587.6
108.0,587.6
109.0,582.3
109.0,582.3
110.0,576.5
110.0,576.5
111.0,570.4
111.0,570.4
112.0,564.5
112.0,564.5
113.0,559.5
113.0,559.5
114.0,554.2
114.0,554.2
115.0,547.8
115.0,547.8
116.0,541.3
116.0,541.3
117.0,535.8
117.0,535.8
118.0,530.8
118.0,530.8
119.0,525.4
119.0,525.4
120.0,520.2
120.0,520.2
121.0,516.1
121.0,516.1
122.0,512.2
122.0,512.2
123.0,507.2
123.0,507.2
124.0,501.9
124.0,501.9
125.0,497.1
125.0,497.1
126.0,492.8
126.0,492.8
127.0,487.6
127.0,487.6
128.0,480.3
128.0,480.3
129.0,471.7
129.0,471.7
130.0,462.6
130.0,462.6
131.0,453.3
131.0,453.3
132.0,444.3
132.0,444.3
133.0,436.2
133.0,436.2
134.0,430.1
134.0,430.1
135.0,426.1
135.0,426.1
136.0,423.0
136.0,423.0
137.0,421.3
137.0,421.3
138.0,421.7
138.0,421.7
139.0,424.1
139.0,424.1
140.0,427.6
140.0,427.6
141.0,430.8
141.0,430.8
142.0,434.1
142.0,434.1
143.0,437.0
143.0,437.0
144.0,438.7
144.0,438.7
145.0,439.3
145.0,439.3
146.0,438.8
146.0,438.8
147.0,437.3
147.0,437.3
148.0,434.9
148.0,434.9
149.0,431.4
149.0,431.4
150.0,426.8
150.0,426.8
151.0,421.5
151.0,421.5
152.0,416.0
152.0,416.0
153.0,410.9
153.0,410.9
154.0,406.7
154.0,406.7
155.0,403.2
155.0,403.2
156.0,400.4
156.0,400.4
157.0,398.1
157.0,398.1
158.0,396.7
158.0,396.7
159.0,396.4
159.0,396.4
160.0,397.1
160.0,397.1
161.0,398.8
161.0,398.8
162.0,400.8
162.0,400.8
163.0,402.7
163.0,402.7
164.0,404.6
164.0,404.6
165.0,406.4
165.0,406.4
166.0,407.8
166.0,407.8
167.0,408.9
167.0,408.9
168.0,409.9
168.0,409.9
169.0,411.2
169.0,411.2
170.0,412.4
170.0,412.4
171.0,412.7
171.0,412.7
172.0,412.5
172.0,412.5
173.0,412.4
173.0,412.4
174.0,412.7
174.0,412.7
175.0,413.8
175.0,413.8
176.0,415.0
176.0,415.0
177.0,416.2
177.0,416.2
178.0,417.8
178.0,417.8
179.0,418.9
181.0,418.9
182.0,419.2
182.0,419.2
183.0,419.1
183.0,419.1
184.0,417.9
184.0,417.9
185.0,415.7
185.0,415.7
186.0,412.6
186.0,412.6
187.0,409.3
187.0,409.3
188.0,405.8
188.0,405.8
189.0,402.5
189.0,402.5
190.0,399.7
190.0,399.7
191.0,396.8
191.0,396.8
192.0,393.3
192.0,393.3
193.0,389.3
193.0,389.3
194.0,385.6
194.0,385.6
195.0,382.6
195.0,382.6
196.0,380.1
196.0,380.1
197.0,378.4
197.0,378.4
198.0,377.2
198.0,377.2
199.0,376.4
199.0,376.4
200.0,376.1
200.0,376.1
201.0,376.6
201.0,376.6
202.0,377.7
202.0,377.7
203.0,378.9
203.0,378.9
204.0,380.0
204.0,380.0
205.0,380.9
205.0,380.9
206.0,381.8
206.0,381.8
207.0,382.5
207.0,382.5
208.0,382.9
208.0,382.9
209.0,383.3
210.0,383.3
211.0,382.6
211.0,382.6
212.0,381.0
212.0,381.0
213.0,379.4
213.0,379.4
214.0,377.7
214.0,377.7
215.0,376.1
215.0,376.1
216.0,374.6
216.0,374.6
217.0,373.1
217.0,373.1
218.0,371.6
218.0,371.6
219.0,369.2
219.0,369.2
220.0,366.1
220.0,366.1
221.0,363.1
221.0,363.1
222.0,361.2
222.0,361.2
223.0,360.4
223.0,360.4
224.0,359.9
224.0,359.9
225.0,359.8
225.0,359.8
226.0,360.1
226.0,360.1
227.0,360.6
227.0,360.6
228.0,361.4
228.0,361.4
229.0,362.6
229.0,362.6
230.0,364.0
230.0,364.0
231.0,365.1
231.0,365.1
232.0,365.6
232.0,365.6
233.0,365.4
233.0,365.4
234.0,365.0
234.0,365.0
235.0,364.5
235.0,364.5
236.0,363.4
236.0,363.4
237.0,361.8
237.0,361.8
238.0,359.5
238.0,359.5
239.0,356.7
239.0,356.7
240.0,354.3
240.0,354.3
241.0,352.4
241.0,352.4
242.0,350.8
242.0,350.8
243.0,349.2
243.0,349.2
244.0,347.6
244.0,347.6
245.0,345.6
245.0,345.6
246.0,343.7
246.0,343.7
247.0,342.5
247.0,342.5
248.0,341.7
248.0,341.7
249.0,341.3
249.0,341.3
250.0,341.5
250.0,341.5
251.0,342.0
251.0,342.0
252.0,343.6
252.0,343.6
253.0,346.3
253.0,346.3
254.0,349.5
254.0,349.5
255.0,353.4
255.0,353.4
256.0,357.0
256.0,357.0
257.0,359.8
257.0,359.8
258.0,362.4
258.0,362.4
259.0,364.6
259.0,364.6
260.0,365.9
260.0,365.9
261.0,366.7
261.0,366.7
262.0,366.5
262.0,366.5
263.0,365.3
263.0,365.3
264.0,364.0
264.0,364.0
265.0,362.1
265.0,362.1
266.0,360.3
266.0,360.3
267.0,358.5
267.0,358.5
268.0,356.3
268.0,356.3
269.0,354.3
269.0,354.3
270.0,352.6
270.0,352.6
271.0,351.0
271.0,351.0
272.0,349.7
272.0,349.7
273.0,348.3
273.0,348.3
274.0,347.2
274.0,347.2
275.0,346.2
275.0,346.2
276.0,344.9
276.0,344.9
277.0,343.5
277.0,343.5
278.0,342.6
278.0,342.6
279.0,341.5
279.0,341.5
280.0,339.9
280.0,339.9
281.0,337.8
281.0,337.8
282.0,335.8
282.0,335.8
283.0,333.5
283.0,333.5
284.0,330.8
284.0,330.8
285.0,328.0
285.0,328.0
286.0,325.6
286.0,325.6
287.0,323.5
287.0,323.5
288.0,321.5
288.0,321.5
289.0,319.9
289.0,319.9
290.0,318.9
290.0,318.9
291.0,318.3
291.0,318.3
292.0,317.6
292.0,317.6
293.0,316.8
293.0,316.8
294.0,315.9
294.0,315.9
295.0,314.7
295.0,314.7
296.0,313.4
296.0,313.4
297.0,311.8
297.0,311.8
298.0,310.1
298.0,310.1
299.0,308.2
299.0,308.2
300.0,305.9
300.0,305.9
301.0,303.5
301.0,303.5
302.0,301.6
302.0,301.6
303.0,300.0
303.0,300.0
304.0,298.6
304.0,298.6
305.0,297.1
305.0,297.1
306.0,295.1
306.0,295.1
307.0,293.0
307.0,293.0
308.0,291.0
308.0,291.0
309.0,288.3
309.0,288.3
310.0,285.2
310.0,285.2
311.0,281.9
311.0,281.9
312.0,278.3
312.0,278.3
313.0,274.4
313.0,274.4
314.0,269.7
314.0,269.7
315.0,264.5
315.0,264.5
316.0,259.1
316.0,259.1
317.0,253.2
317.0,253.2
318.0,247.0
318.0,247.0
319.0,240.7
319.0,240.7
320.0,233.8
320.0,233.8
321.0,226.2
321.0,226.2
322.0,217.7
322.0,217.7
323.0,208.6
323.0,208.6
324.0,199.8
324.0,199.8
325.0,191.7
325.0,191.7
326.0,183.9
326.0,183.9
327.0,176.3
327.0,176.3
328.0,168.9
328.0,168.9
329.0,162.3
329.0,162.3
330.0,156.7
330.0,156.7
331.0,152.4
331.0,152.4
332.0,149.0
332.0,149.0
333.0,146.6
333.0,146.6
334.0,144.8
334.0,144.8
335.0,143.3
335.0,143.3
336.0,142.1
336.0,142.1
337.0,141.4
337.0,141.4
338.0,140.8
338.0,140.8
339.0,140.2
339.0,140.2
340.0,139.8
340.0,139.8
341.0,139.4
341.0,139.4
342.0,138.9
342.0,138.9
343.0,138.3
343.0,138.3
344.0,137.7
344.0,137.7
345.0,137.3
345.0,137.3
346.0,136.9
346.0,136.9
