Time_4_50,HRR_4_50,Time_4_70,HRR_4_70,Time_4_90,HRR_4_90
0,-0.6,0,0.7,0,3
1,0.5,1,1.4,1,2.6
2,0.9,2,2.2,2,2.5
3,-0.6,3,2.8,3,2.2
4,-2,4,0.9,4,2.3
5,-2,5,-0.2,5,2
6,-0.9,6,0.2,6,1.7
7,0.5,7,0.2,7,1.8
8,1,8,1,8,2
9,-0.5,9,2,9,2.5
10,-1.3,10,0.8,10,2.9
11,-0.6,11,-0.1,11,3.1
12,1.1,12,0.4,12,3
13,2.4,13,0.8,13,3.5
14,2.2,14,2.2,14,2.9
15,0.2,15,1.9,15,2.6
16,-1.1,16,0.5,16,0
17,-0.7,17,-0.3,17,0
18,0.4,18,0.4,18,0
19,1.5,19,0.8,19,1.6
20,0.8,20,1.8,20,1.5
21,-0.7,21,1.2,21,1.6
22,-1.4,22,0,22,1.6
23,-0.5,23,0.3,23,2.5
24,0.6,24,0.8,24,2.6
25,2,25,1.9,25,2.6
26,1.4,26,2.7,26,2.5
27,-0.4,27,1.7,27,2.6
28,-1,28,0.6,28,3.3
29,-0.2,29,0.5,29,3.2
30,1.1,30,0.8,30,2.9
31,1.6,31,1.8,31,2.8
32,0.3,32,2.6,32,3.1
33,-1.1,33,1,33,3.5
34,-1.2,34,-1.1,34,3.7
35,0,35,-0.4,35,3.3
36,1.1,36,0.6,36,3.1
37,1.2,37,1.7,37,3.1
38,-0.9,38,1.8,38,3
39,-1.9,39,0.2,39,3.5
40,-0.9,40,-0.6,40,3.3
41,0.8,41,0,41,2.3
42,1.9,42,0.8,42,2.1
43,1.3,43,1.7,43,2.5
44,-0.1,44,1.5,44,2.8
45,0.4,45,0.3,45,2.8
46,1.6,46,0.2,46,2.8
47,2.3,47,0.8,47,2.7
48,2.4,48,1.3,48,2.8
49,1,49,2.9,49,2.3
50,-0.5,50,2.7,50,2.6
51,-1.2,51,1.5,51,2.5
52,-0.1,52,1.9,52,2.3
53,1,53,3,53,2.3
54,2.5,54,3.7,54,2.1
55,1.6,55,4.3,55,2.2
56,0,56,3.6,56,2.9
57,-0.4,57,2.7,57,3.4
58,0.8,58,4.4,58,3.8
59,1.5,59,5.5,59,3.8
60,1.3,60,6,60,4.1
61,-0.2,61,5.5,61,4.4
62,-1.3,62,3.4,62,4.5
63,-1.3,63,2.1,63,4.4
64,0.1,64,2.2,64,4
65,1.6,65,2.8,65,4.2
66,1.7,66,4.1,66,4.4
67,0.2,67,4.2,67,5.4
68,-0.9,68,3.3,68,11.4
69,-0.2,69,2.5,69,37.3
70,1.2,70,2.4,70,71.9
71,2.5,71,3,71,108.9
72,2,72,3.7,72,148
73,0.2,73,3.3,73,191
74,-0.4,74,2,74,238.7
75,-0.2,75,2,75,275.4
76,0.8,76,2.6,76,305
77,1.1,77,3.2,77,323.1
78,2.6,78,4.4,78,335.8
79,2.1,79,3.6,79,341.2
80,1.2,80,2.3,80,337.8
81,1.5,81,2.6,81,332.9
82,2.2,82,3.3,82,323.5
83,2.3,83,4,83,316.6
84,0.6,84,4.8,84,305.1
85,-1,85,3.3,85,296.4
86,-0.9,86,2.6,86,286.7
87,0.7,87,3.3,87,281.1
88,2.2,88,4,88,271.3
89,2.8,89,5,89,264.7
90,1.3,90,5.3,90,260.3
91,-0.1,91,4.3,91,258.3
92,-0.1,92,3.5,92,257.8
93,1.3,93,3.5,93,254.6
94,2.5,94,3.9,94,250.4
95,2.5,95,4.6,95,247.1
96,0.9,96,4.1,96,245.5
97,-0.5,97,2.5,97,250.1
98,-0.7,98,1.6,98,250.4
99,0.6,99,2.3,99,249.3
100,1.3,100,3.5,100,252
101,1.1,101,4.5,101,252.7
102,-0.3,102,4.3,102,258.1
103,-1,103,3.1,103,257.8
104,-0.1,104,2.7,104,263
105,1.2,105,3.4,105,266.7
106,2.1,106,4.1,106,268.3
107,1.2,107,5.3,107,273.2
108,-0.4,108,4.7,108,273.9
109,-0.6,109,3.2,109,279.8
110,0.6,110,4,110,286.9
111,2,111,11.9,111,286.9
112,2.8,112,31.4,112,294.8
113,1.6,113,63.7,113,298.5
114,0,114,93.4,114,306.7
115,-0.6,115,117.9,115,311.1
116,0.5,116,144.9,116,311.3
117,1.9,117,172.7,117,318
118,2.3,118,197,118,319.7
119,1.3,119,220.5,119,320.5
120,0.4,120,235.2,120,329.8
121,1.1,121,252,121,337.2
122,2.2,122,265.2,122,345.2
123,2.7,123,275.9,123,353.2
124,2.2,124,282.2,124,355.8
125,0.7,125,284.2,125,358.1
126,-0.2,126,285.6,126,368.6
127,0.7,127,285.3,127,370.1
128,2.1,128,284.2,128,374.7
129,3.6,129,283.7,129,385.8
130,2.6,130,284.5,130,392.3
131,0.8,131,278.3,131,401.5
132,-0.6,132,275.6,132,410.8
133,0.3,133,272.6,133,415.6
134,1.6,134,261.8,134,422.9
135,2.3,135,261.6,135,426.1
136,1.7,136,262.1,136,436.7
137,0.4,137,256.2,137,441.2
138,0,138,252.9,138,443.7
139,0.9,139,251.2,139,446.6
140,2.3,140,248,140,457.1
141,3.1,141,247.4,141,455.5
142,1.5,142,248,142,450.7
143,0.2,143,246.9,143,457.8
144,0,144,241.7,144,466.9
145,1.8,145,241.6,145,467.1
146,3.3,146,243.6,146,467.7
147,4.1,147,241.3,147,470.9
148,2.7,148,242.6,148,477.4
149,1.2,149,239.5,149,482.9
150,1.2,150,241.3,150,489.8
151,2.5,151,243.4,151,488.9
152,3.3,152,242.7,152,493.9
153,2.6,153,246.7,153,493.1
154,0.9,154,248.2,154,494.2
155,0.3,155,245.8,155,496.6
156,0.7,156,249.8,156,490.2
157,2.2,157,251.4,157,484.3
158,3.3,158,255.7,158,475.1
159,2.7,159,255.8,159,474.7
160,1,160,259.3,160,467.5
161,-0.2,161,260.9,161,463.3
162,0.4,162,266,162,462.1
163,1,163,270.3,163,449.1
164,1.8,164,270.8,164,438.5
165,1.3,165,277.2,165,440.4
166,-0.2,166,280.1,166,432.2
167,-0.9,167,279.9,167,435.4
168,0.3,168,287.1,168,429.7
169,1.1,169,288.4,169,420.1
170,1.6,170,297,170,423.9
171,0.5,171,303.2,171,419.5
172,-0.8,172,307.9,172,414.6
