Time,HRRPUA
0.0,0.0
2.5,0.0
5.0,0.0
7.5,0.0
10.0,0.0
12.5,0.0
15.0,0.0
17.5,0.0
20.0,0.0
22.5,117.8
25.0,235.7
27.5,288.3
30.0,340.9
32.5,321.6
35.0,302.4
37.5,281.0
40.0,259.7
42.5,257.1
45.0,254.5
47.5,254.9
50.0,255.3
52.5,252.6
55.0,249.9
57.5,245.8
60.0,241.7
62.5,238.4
65.0,235.2
67.5,235.0
70.0,234.8
72.5,234.2
75.0,233.7
77.5,233.4
80.0,233.1
82.5,233.6
85.0,234.0
87.5,232.1
90.0,230.2
92.5,230.8
95.0,231.5
97.5,231.1
100.0,230.7
102.5,227.0
105.0,223.3
107.5,224.0
110.0,224.6
112.5,224.5
115.0,224.4
117.5,222.9
120.0,221.4
122.5,221.8
125.0,222.3
127.5,222.6
130.0,223.0
132.5,223.1
135.0,223.2
137.5,222.2
140.0,221.2
142.5,220.2
145.0,219.3
147.5,217.8
150.0,216.3
152.5,216.2
155.0,216.1
157.5,216.4
160.0,216.7
162.5,216.3
165.0,215.9
167.5,215.0
170.0,214.1
172.5,214.2
175.0,214.2
177.5,213.7
180.0,213.2
182.5,213.2
185.0,213.3
187.5,213.3
190.0,213.3
192.5,211.8
195.0,210.3
197.5,211.0
200.0,211.8
202.5,210.4
205.0,208.9
207.5,210.0
210.0,211.0
212.5,208.9
215.0,206.8
217.5,206.3
220.0,205.8
222.5,206.2
225.0,206.6
227.5,206.0
230.0,205.5
232.5,205.2
235.0,205.0
237.5,204.6
240.0,204.2
242.5,205.2
245.0,206.2
247.5,205.5
250.0,204.8
252.5,205.2
255.0,205.6
257.5,205.0
260.0,204.4
262.5,204.8
265.0,205.2
267.5,207.3
270.0,209.4
272.5,208.2
275.0,207.1
277.5,206.8
280.0,206.6
282.5,205.9
285.0,205.2
287.5,206.6
290.0,207.9
292.5,207.4
295.0,206.8
297.5,206.0
300.0,205.1
302.5,202.9
305.0,200.7
307.5,199.3
310.0,197.9
312.5,197.2
315.0,196.6
317.5,196.4
320.0,196.2
322.5,197.1
325.0,198.0
327.5,196.8
330.0,195.6
332.5,196.8
335.0,198.0
337.5,198.8
340.0,199.6
342.5,201.1
345.0,202.6
347.5,204.6
350.0,206.7
352.5,208.8
355.0,211.0
357.5,215.0
360.0,219.0
362.5,222.0
365.0,225.1
367.5,229.8
370.0,234.4
372.5,238.8
375.0,243.2
377.5,248.7
380.0,254.2
382.5,261.0
385.0,267.9
387.5,269.5
390.0,271.1
392.5,275.0
395.0,278.9
397.5,275.5
400.0,272.1
402.5,275.8
405.0,279.4
407.5,279.2
410.0,279.1
412.5,277.4
415.0,275.7
417.5,275.1
420.0,274.5
422.5,272.5
425.0,270.5
427.5,269.8
430.0,269.0
432.5,268.0
435.0,267.1
437.5,261.6
440.0,256.2
442.5,252.4
445.0,248.7
447.5,246.8
450.0,244.8
452.5,241.8
455.0,238.7
457.5,242.0
460.0,245.3
462.5,241.5
465.0,237.7
467.5,236.1
470.0,234.5
472.5,231.8
475.0,229.0
477.5,223.4
480.0,217.7
482.5,216.9
485.0,216.1
487.5,213.2
490.0,210.4
492.5,205.8
495.0,201.2
497.5,198.4
500.0,195.7
502.5,191.8
505.0,187.8
507.5,183.7
