Time,HRRPUA
0.0,0.0
1.2,0.0
2.4,0.0
3.6,0.0
4.8,0.0
6.0,0.0
7.2,0.0
8.4,0.0
9.6,0.0
10.7,0.0
11.9,0.0
13.1,0.0
14.3,0.0
15.5,0.0
16.7,0.0
17.9,0.0
19.1,0.0
20.3,0.0
21.5,0.0
22.7,0.0
23.9,0.0
25.1,0.0
26.3,0.0
27.5,0.0
28.7,0.0
29.9,0.0
31.0,0.0
32.2,0.0
33.4,0.0
34.6,0.0
35.8,0.0
37.0,0.0
38.2,0.0
39.4,28.8
40.6,75.7
41.8,85.3
43.0,94.8
44.2,92.6
45.4,90.1
46.6,87.5
47.8,84.9
49.0,81.6
50.2,78.2
51.3,74.8
52.5,71.5
53.7,68.5
54.9,65.7
56.1,63.4
57.3,61.1
58.5,58.4
59.7,54.9
60.9,51.6
62.1,48.2
63.3,45.3
64.5,43.6
65.7,41.9
66.9,40.2
68.1,38.4
69.3,35.5
70.5,32.2
71.6,28.2
72.8,24.1
74.0,20.1
75.2,16.5
76.4,14.8
77.6,13.1
78.8,12.5
80.0,12.5
81.2,11.9
82.4,11.4
83.6,10.8
84.8,10.2
86.0,10.1
87.2,10.1
88.4,10.1
89.6,10.1
90.8,10.1
91.9,10.1
93.1,10.1
94.3,10.1
95.5,10.1
96.7,10.1
97.9,10.1
99.1,10.2
100.3,10.2
101.5,10.2
102.7,10.2
103.9,10.2
105.1,10.2
106.3,10.8
107.5,11.4
108.7,12.0
109.9,12.6
111.1,12.2
112.2,11.6
113.4,11.0
114.6,10.3
115.8,10.6
117.0,11.2
118.2,11.7
119.4,11.7
120.6,11.4
121.8,10.8
123.0,10.3
124.2,10.8
125.4,11.2
126.6,11.2
127.8,11.2
129.0,10.7
130.2,10.2
131.4,10.2
132.5,10.2
133.7,10.5
134.9,11.1
136.1,11.7
137.3,12.3
138.5,12.4
139.7,11.8
140.9,11.7
142.1,11.7
143.3,11.9
144.5,12.5
145.7,12.7
146.9,12.7
148.1,12.7
149.3,12.7
150.5,12.7
151.7,12.7
152.8,12.7
154.0,12.7
155.2,12.7
156.4,12.7
157.6,12.7
158.8,12.7
160.0,12.7
161.2,12.7
162.4,12.7
163.6,12.7
164.8,12.7
166.0,12.7
167.2,12.7
168.4,12.7
169.6,12.7
170.8,12.7
172.0,12.7
173.1,12.6
174.3,12.1
175.5,11.5
176.7,10.9
177.9,10.3
179.1,10.8
180.3,11.4
181.5,12.0
182.7,12.6
183.9,12.7
185.1,12.8
186.3,12.8
187.5,12.9
188.7,12.6
189.9,12.0
191.1,11.4
192.3,10.8
193.4,10.6
194.6,11.2
195.8,11.8
197.0,12.4
198.2,12.9
199.4,12.9
200.6,12.9
201.8,12.9
203.0,12.9
