Time_3_25,HRR_3_25,Time_8_24,HRR_8_24,Time_27_23,HRR_27_23,Time_3_50,HRR_3_50,Time_8_49,HRR_8_49,Time_27_46,HRR_27_46,Time_3_75,HRR_3_75,Time_8_73,HRR_8_73,Time_27_69,HRR_27_69
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.6,0,8.7,0,25.7,0,3.4,0,5.6,0,11.7,0,3.2,0,3.6,0,15.9,0
24.7,0,54.8,0,158.5,0,16.8,0,21.4,0,55.8,0,11.2,0,16.9,0,51.6,19.2
45.2,0,101,0,286.6,0,29.6,0,36.8,0,84.4,0,18.9,0,29.6,0,56.5,186.6
65.6,0,147.1,0,414.6,0,42.4,0,52,0,88.7,84.5,26.6,0,42.9,0,63.2,297.8
86.1,1.2,193.3,0,547.7,3.1,55.2,17.8,68.6,0,99.3,170.1,34.9,0,51.9,108.3,77.6,387.2
106.5,3.4,239.4,0,630.7,34.2,68.5,49.6,82.8,0,107.5,241.6,41.7,68.7,57.7,215.8,94.4,478.3
127,3,285.5,0,632.1,3.9,77.1,109,97.3,0,126.2,308.5,48.4,150.7,64.1,303.5,105.1,574.5
147.4,1.1,331.7,0,637.2,78.5,83.7,168,112.1,42.1,143.5,368.2,53.4,246.7,75.7,408.4,131.3,654.9
167.9,2.5,377.8,0,647.9,120.3,90.3,231,117.2,106.2,158.8,435.3,58.7,344.3,88.3,495.2,163.4,692.4
188.3,1.7,424,0,651.3,163.5,97.7,298.1,121.3,171.3,184.8,500.4,64.5,409.9,101.1,570.3,200.5,737.1
208.8,0.8,470.1,0,706,201.8,108.7,339.8,128.3,238.2,209.3,553,71.2,460.2,113.1,629.8,237.1,766.8
226.3,16.3,519,3.5,767.5,206.1,117.7,404.5,137.4,297.4,249.4,592,78.7,525.5,126.6,674.9,272.2,780.7
234.7,47.7,541.4,9,789.6,239.4,129.8,456.7,154,313.8,288.8,603.7,86.1,616.8,136.2,734.7,308.2,779.4
238.8,76.3,543.2,43.8,825.6,273.6,140.7,523,168.2,364.8,320.3,495.4,92.9,714.8,149,766.5,341.2,751.7
241.8,101.7,550.5,88.6,871,301.9,151.2,607.3,182.9,409.7,345.7,443.8,98.3,834.8,160.9,828.6,376.2,716.8
250.3,127.8,560.7,132.2,924.2,329.8,160.8,674.3,197.8,462.4,379,388.7,104.3,913.1,174.6,840.4,409.6,770.9
259.7,157.7,575.5,167.3,979.8,362.1,168.3,760.1,213.9,522.1,402.3,463.1,108.8,1032.3,185.8,879.2,444.7,789.4
270.8,186.8,601.3,196.2,1049.3,383.5,175.4,824.9,229.5,544,419.8,518.3,113.1,1155.8,199.7,933,480.5,788.7
282.7,212.7,629.7,224.9,1085.5,415.5,183.1,867.8,245.3,551.6,452.3,463.5,118.9,1298.1,212.9,945.1,516.8,805.5
292.3,239.9,649.3,261.5,1169.3,382.2,192.4,944.8,260.4,581.2,492.1,441.7,121,1415,224.3,964.1,550.1,843.7
309.9,260.5,679.3,287.4,1259.1,354.4,197.6,1013.2,275,620.5,506.9,420.4,124.9,1523.3,231.6,1046.8,586.6,858.3
326.1,286.9,725.5,300.3,1353.4,333.1,202.9,1075.2,287.5,665.7,549.4,419.6,126.4,1606.2,242.7,1112.7,623.3,872.3
338.4,322.5,766.5,309.6,1448.3,303.7,210.5,1101.4,299.5,734.1,595.4,445.5,130.7,1610.2,255,1187.9,659.6,887
357.1,343.9,805.1,345.6,1580.3,276.9,216.7,1048.9,311.8,735.5,641.5,485.1,132.7,1717.3,266.2,1248.2,695.4,882.9
376.1,373.4,848,350.4,1701.4,270.1,223.2,1053.6,325.1,716.9,687.6,523,136.6,1737,271.8,1366.6,731.2,895.3
395.8,393.4,848.5,318.9,1825.6,271,227.1,989.7,337.8,743.2,732.6,528.2,139.5,2051.4,282.6,1433.4,767,894.9
412.9,419.7,890.7,386.9,1885.6,243.5,236.5,917.7,352.9,761.3,781.5,514.3,139.7,1903.7,285.3,1560.3,781.9,1033.6
431.3,441.7,933.1,412.2,1997.7,273.7,239.4,807.5,364.8,833.7,822.4,575.4,146.2,1816.7,291.7,1646.6,801.4,853.7
451.4,466.2,978.9,434.9,2083.9,314.9,241.7,742.4,370.9,895.8,855.4,636.5,147.4,1701,300.1,1600.6,822.7,808.1
471.2,476.3,1017.6,459,2194.8,341,243.4,673.3,374.8,963.3,875.3,565.8,148.1,1634,301.2,1780.1,854.7,847.5
487.9,490,1054.8,489.8,2326.2,353.1,246.6,585.2,383.9,1024.6,898.9,564.5,150.1,1507.4,301.8,1671.2,886.9,917.7
494,459.2,1084,494.3,2452.5,370.9,249.6,517.1,395.2,1115.9,914.6,668.8,151.9,1352.7,314.5,1880.5,914.4,1066.7
503.3,418.7,1095.1,532,2575.6,381.6,254.1,446.6,410.4,1158.2,952.9,677.2,152.7,1210.7,318.3,2246.4,936.8,1135.3
508.5,388.3,1121.8,529.8,2693.9,393.1,260.2,384.7,420.2,1238.4,1000.5,694.5,154.8,991.5,320.7,1983.1,966.3,1214.7
509.7,350.4,1138.7,556.7,2744.8,378.7,265.6,318.7,425.4,1323,1048.1,703.3,157.4,854,330.8,1893,990.1,1276.1
516.5,304.6,1163.9,567.5,2855.3,396.6,275,269.3,431.9,1454,1091.5,788.9,158.1,749.6,338.3,1799.9,1029.3,1355.5
520.7,274.5,1167.6,603.1,3020.5,422.1,283.6,231.9,444,1574,1137.5,839.8,160.9,655.2,345.1,1677.2,1061.4,1402.3
526.6,235.6,1191.5,645.4,3149.5,431.7,295.1,222.6,455.7,1461.3,1182.7,877.7,165.5,549.8,348.3,1532.7,1094.9,1467.1
530.1,206,1214.4,641.5,3240.4,438.2,307.8,209.8,457.8,1383.9,1228.7,921.5,170.3,440,352.7,1413.4,1105.7,1573.8
534.9,180.6,1226.6,682.7,3252.6,474.3,320.6,188.1,459.8,1328.6,1275.8,976.7,177.3,331.3,355,1220.7,1108.8,1690.8
543,146.3,1243.4,714.9,3308.3,515.7,333.4,164.4,466.3,1217.1,1323.3,1024.5,185,268.4,358.7,1089.1,1123.1,1844
556,109.9,1285.4,722.5,3357.9,549.3,346.2,144,468.7,1148.6,1399.9,1110.1,192.7,252.4,362.2,996.7,1130.9,1941.3
571.4,91.6,1294.5,768.8,3446.8,571.8,359,124.7,470.1,1075.6,1428.1,1197,200.4,254.5,370.7,901.8,1139,2099.6
587.9,66.3,1319.6,763,3458.7,607.1,371.8,107.7,474.5,1012.6,1442.4,1261.6,208,238.6,375.1,821.6,1153.6,2461.5
606.5,46.4,1331.4,717.2,3503.4,499.1,384.6,83.5,481.1,950.1,1450.8,1333.3,215.7,212,382.9,725.1,1158.1,1999.3
627.4,37.2,1341.2,682.1,3511.8,445.6,397.4,62.8,489.3,891.1,1469.1,1408.3,223.4,187.2,389,621.3,1160.6,1916.3
647.4,34.9,1358.2,643.7,3518,402.1,410.2,49.2,495.4,821.2,1481.3,1480.2,231.1,156.2,393.5,516.9,1162.6,2130.3
667.9,25.5,1370.8,611,3518.7,372.4,423,34.7,504.7,766.4,1498.2,1355.5,238.8,116.9,396.3,393.3,1166.9,1707.5
688.4,19.1,1374.7,577.7,3544.6,337.9,431.7,29.4,513.3,713.3,1498.3,1419,246.5,96.7,400.3,253,1167,1810.7
708.8,17.6,1384.8,539,3580.1,304.5,440,0,523.2,664.5,1503,1276.6,254.1,88,403.2,150.5,1168.6,1456.7
721.8,16.3,1395.4,484.7,3609,274.1,,,531,596.8,1508.4,1164.5,261.8,81.4,408.4,53.6,1170.6,1572.2
730,0,1404,436.8,3614.6,235.6,,,537.2,535.7,1510.7,1045.7,269.5,77.3,416.4,0,1174.5,1368.2
,,1414.1,397.3,3620.2,176,,,544.2,481.4,1511.3,961,277.2,70.4,424.1,0,1177.6,1253.3
,,1423.3,360.5,3622.7,205.1,,,551.1,422.1,1520.6,895,284.9,64.3,,,1181.3,1155.5
,,1428.1,318.2,3623.1,145.1,,,555.9,366.6,1523.5,819.8,292.6,57,,,1183,1056.1
,,1443.6,282.9,3630.9,116.2,,,557.7,311.5,1523.6,744.2,299.5,50.3,,,1186.6,903
,,1453.7,242.1,3649.7,84,,,561.8,234.5,1531.2,683.2,330,0,,,1190,768.7
,,1457.8,194.9,3699.6,50.4,,,566,162.6,1532.1,620.2,,,,,1190.3,984.6
,,1459.6,162.4,3776.6,26,,,573.2,90.9,1542.3,553,,,,,1191.8,643.4
,,1466.7,127.5,3857.3,24.5,,,587.7,41.6,1557.7,483,,,,,1193.4,538.8
,,1471.8,86.5,3900,0,,,600.2,27.1,1567.2,419.6,,,,,1197.9,432.8
,,1482.5,49.7,,,,,630,0,1582.6,335.4,,,,,1200.5,337.9
,,1505.8,21.6,,,,,,,1586,265.1,,,,,1208.4,221.2
,,1548.1,7.2,,,,,,,1598,192,,,,,1223.9,89.7
,,1560,0,,,,,,,1623.2,132.1,,,,,1248.1,0
,,,,,,,,,,1659.7,56.2,,,,,,
,,,,,,,,,,1699.4,25.1,,,,,,
,,,,,,,,,,1739.1,24.4,,,,,,
,,,,,,,,,,1745,0,,,,,,
