"u12/u*2,Andren95,SGS part",z/h
-0.027745665,1.465556831
-0.020809249,1.439724455
-0.020809249,1.413892078
-0.020809249,1.379448909
-0.013872832,1.487944891
-0.013872832,1.084959816
-0.006936416,1.110792193
-0.006936416,1.052238806
-0.006936416,1.01435132
-1.14E-16,1.331228473
-1.14E-16,1.300229621
-1.14E-16,1.262342135
-1.14E-16,1.22445465
-1.14E-16,1.183122847
-1.14E-16,1.148679679
-1.14E-16,1.122847302
-1.14E-16,0.976463835
0.013872832,0.947187141
0.013872832,0.917910448
0.020809249,0.888633754
0.041618497,0.862801378
0.041618497,0.833524684
0.069364162,0.800803674
0.069364162,0.773249139
0.076300578,0.731917336
0.097109827,0.6836969
0.097109827,0.640642939
0.110982659,0.618254879
0.131791908,0.561423651
0.131791908,0.520091848
0.138728324,0.594144661
0.138728324,0.490815155
0.173410405,0.46326062
0.173410405,0.425373134
0.180346821,0.406429392
0.208092486,0.371986223
0.208092486,0.344431688
0.256647399,0.313432836
0.256647399,0.268656716
0.312138728,0.235935706
0.346820809,0.19804822
0.38150289,0.16532721
0.416184971,0.148105626
0.450867052,0.127439724
0.506358382,0.101607348
0.561849711,0.075774971
0.624277457,0.017221584
0.631213873,0.053386912
0.645086705,0.036165327
