"t/u*2,FOAM,resolved flux",z/h
0.001736614,0.004580153
0.003473227,0.025954198
0.006946454,0.038167939
0.013892909,0.048854962
0.02431259,0.06259542
0.032995658,0.071755725
0.041678726,0.093129771
0.055571635,0.111450382
0.060781476,0.123664122
0.067727931,0.13740458
0.079884226,0.157251908
0.088567294,0.170992366
0.095513748,0.186259542
0.100723589,0.195419847
0.109406657,0.210687023
0.114616498,0.229007634
0.128509407,0.232061069
0.137192475,0.245801527
0.144138929,0.964885496
0.144138929,0.951145038
0.144138929,0.929770992
0.144138929,0.254961832
0.145875543,0.998473282
0.145875543,0.978625954
0.145875543,0.909923664
0.145875543,0.887022901
0.145875543,0.841221374
0.147612156,0.864122137
0.14934877,0.818320611
0.152821997,0.267175573
0.154558611,0.796946565
0.154558611,0.783206107
0.158031838,0.761832061
0.159768452,0.740458015
0.159768452,0.273282443
0.163241679,0.720610687
0.164978292,0.287022901
0.166714906,0.694656489
0.170188133,0.66870229
0.177134588,0.642748092
0.177134588,0.293129771
0.185817656,0.303816794
0.189290883,0.619847328
0.194500724,0.598473282
0.196237337,0.319083969
0.203183792,0.583206107
0.206657019,0.567938931
0.206657019,0.334351145
0.215340087,0.551145038
0.218813314,0.53740458
0.222286541,0.52519084
0.222286541,0.345038168
0.229232996,0.506870229
0.229232996,0.351145038
0.232706223,0.360305344
0.234442836,0.370992366
0.23617945,0.487022901
0.23617945,0.470229008
0.239652677,0.384732824
0.244862518,0.453435115
0.244862518,0.441221374
0.248335745,0.401526718
0.251808973,0.427480916
0.251808973,0.416793893
