U-wind,z
m/s,m
0.021403092,3.305785124
0.25921522,3.305785124
0.401902497,3.305785124
0.580261593,2.203856749
0.853745541,2.203856749
1.103448276,5.509641873
1.365041617,4.407713499
1.602853746,6.611570248
1.781212842,7.713498623
1.959571938,7.713498623
2.197384067,7.713498623
2.35196195,8.815426997
2.458977408,11.01928375
2.625445898,16.52892562
2.756242568,18.73278237
2.934601665,23.14049587
3.112960761,27.54820937
3.31510107,31.95592287
3.493460166,35.26170799
3.64803805,39.66942149
3.862068966,47.38292011
4.052318668,49.58677686
4.218787158,57.30027548
4.44470868,61.70798898
4.646848989,67.21763085
4.813317479,72.72727273
4.991676576,78.2369146
5.193816885,84.84848485
5.395957194,90.35812672
5.562425684,94.76584022
5.681331748,99.17355372
5.776456599,101.3774105
5.919143876,107.9889807
6.145065398,114.600551
6.299643282,123.415978
6.454221165,128.9256198
6.608799049,134.4352617
6.751486326,141.046832
6.822829964,149.862259
6.965517241,155.3719008
7.096313912,161.9834711
7.215219976,173.0027548
7.357907253,750.4132231
7.357907253,510.1928375
7.357907253,499.1735537
7.36979786,726.1707989
7.36979786,710.7438017
7.36979786,700.8264463
7.36979786,676.584022
7.36979786,655.6473829
7.36979786,638.0165289
7.36979786,623.6914601
7.36979786,550.9641873
7.36979786,533.3333333
7.381688466,737.1900826
7.381688466,685.399449
7.381688466,590.6336088
7.381688466,568.5950413
7.381688466,483.7465565
7.381688466,468.3195592
7.393579073,604.9586777
7.417360285,189.5316804
7.429250892,458.4022039
7.464922711,196.1432507
7.476813317,439.6694215
7.476813317,428.6501377
7.53626635,200.5509642
7.583828775,414.3250689
7.643281807,396.6942149
7.643281807,211.5702479
7.714625446,381.2672176
7.738406659,225.8953168
7.797859691,362.5344353
7.821640904,241.322314
7.845422117,344.9035813
7.892984542,327.2727273
7.916765755,255.6473829
7.964328181,280.9917355
7.988109394,298.6225895
