"Km/u*h,FOAM value",z/h
0.000117647,0.004538578
0.000647059,1.495461422
0.000647059,1.472768533
0.000705882,1.450075643
0.000705882,1.386535552
0.000705882,0.002269289
0.000764706,1.418305598
0.000823529,1.354765507
0.000941176,1.318456884
0.001058824,1.285552194
0.001117647,1.276475038
0.001176471,1.26172466
0.001235294,1.236762481
0.001294118,1.219742814
0.001352941,1.19591528
0.001411765,1.170953101
0.001411765,0.004538578
0.001470588,1.155068079
0.001529412,1.1403177
0.001588235,1.122163389
0.001647059,1.105143722
0.001705882,1.018456884
0.001705882,1.071104387
0.001705882,0.925869894
0.001705882,0.660363086
0.001705882,0.633131619
0.001705882,0.610438729
0.001764706,0.997352496
0.001764706,0.959909228
0.001823529,0.984933579
0.001823529,0.714826021
0.001823529,0.687594554
0.001882353,0.889491447
0.001882353,0.778366112
0.001882353,0.735249622
0.001882353,0.576399395
0.001941176,0.811270802
0.001941176,0.832829047
0.002,0.861195159
0.002,0.549167927
0.002058824,0.53214826
0.002117647,0.523071104
0.002117647,0.009077156
0.002176471,0.51172466
0.002235294,0.502647504
0.002294118,0.493570348
0.002352941,0.486762481
0.002411765,0.47881997
0.002470588,0.475416036
0.002529412,0.470877458
0.002588235,0.46633888
0.002588235,0.011346445
0.002647059,0.462934947
0.002705882,0.458396369
0.002764706,0.453857791
0.002823529,0.450453858
0.002882353,0.44591528
0.002941176,0.441376702
0.003,0.437972769
0.003058824,0.433434191
0.003117647,0.428895613
0.003176471,0.425491679
0.003176471,0.011346445
0.003235294,0.422087746
0.003294118,0.419818457
0.003352941,0.417549168
0.003411765,0.415279879
0.003470588,0.415279879
0.003529412,0.41301059
0.003588235,0.410741301
0.003647059,0.410741301
0.003705882,0.408472012
0.003764706,0.407337368
0.003823529,0.406202723
0.003882353,0.403933434
0.003941176,0.403933434
0.004,0.401664145
0.004,0.011346445
0.004058824,0.399394856
0.004117647,0.399394856
0.004176471,0.397125567
0.004235294,0.395990923
0.004294118,0.394856278
0.004352941,0.392586989
0.004411765,0.392586989
0.004470588,0.3903177
0.004529412,0.388048411
0.004588235,0.388048411
0.004647059,0.385779123
0.004705882,0.383509834
0.004764706,0.383509834
0.004823529,0.381240545
0.004882353,0.3801059
0.004941176,0.378971256
0.005,0.376701967
0.005058824,0.376701967
0.005058824,0.011346445
0.005117647,0.374432678
0.005176471,0.372163389
0.005235294,0.372163389
0.005294118,0.3698941
0.005352941,0.367624811
0.005411765,0.367624811
0.005470588,0.365355522
0.005529412,0.364220877
0.005588235,0.363086233
0.005647059,0.360816944
0.005705882,0.360816944
0.005705882,0.020423601
0.005764706,0.358547655
0.005823529,0.356278366
0.005882353,0.356278366
0.005941176,0.354009077
0.006,0.354009077
0.006058824,0.352874433
0.006117647,0.351739788
0.006176471,0.351739788
0.006235294,0.350605144
0.006294118,0.349470499
0.006352941,0.349470499
0.006411765,0.34720121
0.006470588,0.34720121
