"N,Andren95 theoretical value",z/h
0.006742081,0.512859304
0.006832579,0.619515885
0.006832579,0.531013616
0.006877828,0.603630862
0.006923077,0.583207262
0.006923077,0.551437216
0.006923077,0.49924357
0.007013575,0.576399395
0.007013575,0.567322239
0.007013575,0.492435703
0.007058824,0.664901664
0.007058824,0.65128593
0.007058824,0.637670197
0.007058824,0.540090772
0.007058824,0.472012103
0.007149321,0.358547655
0.007239819,0.458396369
0.007239819,0.440242057
0.007239819,0.422087746
0.007375566,0.676248109
0.007375566,0.410741301
0.007375566,0.388048411
0.007420814,0.356278366
0.007511312,0.34720121
0.007511312,0.333585477
0.00760181,0.698940998
0.00760181,0.317700454
0.00760181,0.279122542
0.007692308,0.712556732
0.007828054,0.30408472
0.007918552,0.276853253
0.00800905,0.274583964
0.008054299,0.251891074
0.008144796,0.721633888
0.008325792,0.753403933
0.008325792,0.249621785
0.008506787,0.773827534
0.008506787,0.224659607
0.008733032,0.798789713
0.008823529,0.206505295
0.008959276,0.821482602
0.009049774,0.837367625
0.009095023,0.177004539
0.009411765,0.161119516
0.009502262,0.850983359
0.009773756,0.86913767
0.010226244,0.15204236
0.010361991,0.878214826
0.010588235,0.138426626
0.010723982,0.894099849
0.011176471,0.900907716
0.011266968,0.118003026
0.01158371,0.909984871
0.011945701,0.104387292
0.012036199,0.923600605
0.012262443,0.097579425
0.012895928,0.932677761
0.012895928,0.081694402
0.013257919,0.937216339
0.013303167,1.468229955
0.013303167,1.440998487
0.013303167,1.404689864
0.013303167,1.375189107
0.013303167,0.079425113
0.013348416,1.495461422
0.013393665,1.345688351
0.013529412,1.307110439
0.01361991,1.270801815
0.013800905,0.944024206
0.013800905,0.070347958
0.013936652,1.241301059
0.014117647,0.056732224
0.014162896,1.218608169
0.014343891,0.950832073
0.014524887,1.202723147
0.014524887,0.04311649
0.01479638,1.193645991
0.014977376,0.024962179
0.015022624,0.959909228
0.015113122,1.17322239
0.015791855,1.145990923
0.015927602,0.966717095
0.016334842,0.971255673
0.016470588,1.125567322
0.017104072,1.114220877
0.017330317,0.980332829
0.017873303,1.096066566
0.017963801,0.989409985
0.018552036,1.082450832
0.018552036,0.996217852
0.019095023,1.073373676
0.019140271,1.003025719
0.019547511,1.057488654
0.019547511,1.005295008
0.019864253,1.014372163
0.020090498,1.037065053
0.020135747,1.018910741
