"t/u*2,FOAM,SGS flux",z/h
0.02431259,0.995419847
0.027785818,0.977099237
0.029522431,0.958778626
0.034732272,0.929770992
0.034732272,0.911450382
0.039942113,0.887022901
0.04341534,0.873282443
0.045151954,0.854961832
0.050361795,0.832061069
0.050361795,0.815267176
0.055571635,0.792366412
0.057308249,0.777099237
0.067727931,0.755725191
0.072937771,0.729770992
0.081620839,0.702290076
0.088567294,0.691603053
0.093777135,0.67480916
0.100723589,0.659541985
0.107670043,0.641221374
0.119826339,0.619847328
0.133719247,0.598473282
0.145875543,0.580152672
0.151085384,0.563358779
0.170188133,0.551145038
0.178871201,0.532824427
0.199710564,0.517557252
0.213603473,0.508396947
0.227496382,0.496183206
0.244862518,0.482442748
0.260492041,0.470229008
0.283068017,0.45648855
0.296960926,0.451908397
0.317800289,0.439694656
0.331693198,0.430534351
0.354269175,0.421374046
0.373371925,0.410687023
0.394211288,0.403053435
0.40984081,0.398473282
0.425470333,0.389312977
0.453256151,0.374045802
0.477568741,0.367938931
0.503617945,0.354198473
0.531403763,0.341984733
0.560926194,0.328244275
0.586975398,0.320610687
0.613024602,0.311450382
0.64081042,0.299236641
0.663386397,0.287022901
0.689435601,0.277862595
0.718958032,0.265648855
0.736324168,0.25648855
0.77105644,0.247328244
0.797105644,0.235114504
0.819681621,0.219847328
0.83878437,0.215267176
0.850940666,0.207633588
0.875253256,0.201526718
0.899565847,0.19389313
0.923878437,0.181679389
0.951664255,0.170992366
0.972503618,0.158778626
0.996816208,0.146564885
1.003762663,0.004580153
1.010709117,0.140458015
1.024602026,0.013740458
1.036758321,0.12519084
1.041968162,0.019847328
1.055861071,0.027480916
1.057597685,0.035114504
1.059334298,0.112977099
1.064544139,0.041221374
1.06975398,0.050381679
1.071490593,0.061068702
1.078437048,0.07480916
1.080173661,0.087022901
1.081910275,0.102290076
