"Km/u*h,Andren95",z/h
0.000409091,1.104545455
0.000454545,1.078977273
0.000545455,1.126704545
0.000636364,1.043181818
0.000727273,1.014204545
0.001045455,1.14375
0.001227273,0.99375
0.001590909,1.153977273
0.001636364,0.968181818
0.001909091,1.165909091
0.001954545,1.165909091
0.002,1.166761364
0.002045455,1.166761364
0.002090909,1.168465909
0.002136364,1.168465909
0.002181818,1.168465909
0.002227273,1.168465909
0.002272727,1.170170455
0.002272727,0.942613636
0.002318182,1.171022727
0.002363636,1.171022727
0.002409091,1.172727273
0.002454545,1.173579545
0.0025,1.173579545
0.002545455,1.173579545
0.002590909,1.173579545
0.002636364,1.174431818
0.002681818,1.175284091
0.002727273,1.175284091
0.002772727,1.176136364
0.002818182,1.176136364
0.002863636,1.176136364
0.002863636,0.927272727
0.002909091,1.176136364
0.002954545,1.176988636
0.003,1.176988636
0.003045455,1.176988636
0.003090909,1.178693182
0.003136364,1.178693182
0.003181818,1.180397727
0.003227273,1.180397727
0.003272727,1.180397727
0.003318182,1.18125
0.003363636,1.18125
0.003409091,1.18125
0.003454545,1.182102273
0.003454545,0.903409091
0.0035,1.182954545
0.003545455,1.182954545
0.003590909,1.182954545
0.003636364,1.183806818
0.003681818,1.183806818
0.003727273,1.183806818
0.003772727,1.183806818
0.003818182,1.185511364
0.003863636,1.185511364
0.003909091,1.187215909
0.003954545,1.187215909
0.004,1.187215909
0.004045455,1.188068182
0.004090909,1.188068182
0.004136364,1.188068182
0.004181818,1.188068182
0.004181818,0.888068182
0.004227273,1.188068182
0.004272727,1.188920455
0.004318182,1.188920455
0.004363636,1.189772727
0.004409091,1.189772727
0.004454545,1.189772727
0.004454545,0.874431818
0.0045,1.189772727
0.004545455,1.189772727
0.004590909,1.190625
0.004636364,1.190625
0.004681818,1.190625
0.004727273,1.190625
0.004772727,1.192329545
0.004818182,1.192329545
0.004863636,1.192329545
0.004909091,1.192329545
0.004954545,1.192329545
0.005,1.192329545
0.005,0.853977273
0.005045455,1.194034091
0.005090909,1.194034091
0.005136364,1.194034091
0.005181818,1.194034091
0.005227273,1.194886364
0.005272727,1.194886364
0.005318182,1.195738636
0.005363636,1.195738636
0.005363636,0.848863636
0.005409091,1.194886364
0.005454545,1.194886364
0.0055,1.195738636
0.005545455,1.195738636
0.005590909,1.196590909
0.005636364,1.196590909
0.005681818,1.196590909
0.005727273,1.196590909
0.005772727,1.196590909
0.005818182,1.196590909
0.005863636,1.197443182
0.005909091,1.197443182
0.005909091,0.828409091
0.005954545,1.198295455
