"Km/u*h,Andren95 theoretical value",z/h
0.000181818,0.997159091
0.000363636,0.973295455
0.000681818,0.95625
0.001227273,0.928977273
0.001681818,0.911931818
0.002136364,0.889772727
0.002590909,0.876136364
0.002954545,0.8625
0.003636364,0.845454545
0.004045455,0.836931818
0.004636364,0.816477273
0.005045455,0.802840909
0.005545455,0.785795455
0.006045455,0.023863636
0.006181818,0.775568182
0.006772727,0.755113636
0.006772727,0.020454545
0.007318182,0.741477273
0.007590909,0.020454545
0.007954545,0.726136364
0.008454545,0.022159091
0.0085,0.717613636
0.009136364,0.700568182
0.009136364,0.023863636
0.009681818,0.685227273
0.010090909,0.030681818
0.010181818,0.664772727
0.010590909,0.65625
0.010681818,0.030681818
0.011227273,0.644318182
0.011227273,0.032386364
0.011545455,0.035795455
0.011909091,0.632386364
0.012,0.035795455
0.012727273,0.613636364
0.012727273,0.035795455
0.013045455,0.040909091
0.013318182,0.594886364
0.013818182,0.040909091
0.014090909,0.58125
0.014318182,0.046022727
0.014818182,0.569318182
0.014818182,0.049431818
0.015227273,0.548863636
0.015636364,0.054545455
0.015772727,0.542045455
0.016409091,0.528409091
0.016727273,0.057954545
0.017045455,0.514772727
0.017409091,0.063068182
0.017772727,0.494318182
0.018272727,0.066477273
0.018363636,0.480681818
0.019,0.073295455
0.019272727,0.460227273
0.019454545,0.080113636
0.020045455,0.083522727
0.020090909,0.441477273
0.020636364,0.085227273
0.020772727,0.427840909
0.021090909,0.090340909
0.021227273,0.409090909
0.021681818,0.095454545
0.022090909,0.102272727
0.022272727,0.39375
0.0225,0.378409091
0.022954545,0.109090909
0.023045455,0.357954545
0.0235,0.121022727
0.023681818,0.346022727
0.024318182,0.136363636
0.0245,0.31875
0.025,0.3
0.025,0.153409091
0.0255,0.272727273
0.025681818,0.175568182
0.025863636,0.235227273
0.025863636,0.202840909
