potential temperature,z
K,m
287.2739274,9.14866582
287.2818482,14.23125794
287.2906491,18.29733164
287.3082508,29.47903431
287.3135314,33.54510801
287.3240924,40.66073698
287.3337734,46.75984752
287.3416942,52.85895807
287.3487349,54.89199492
287.3584158,60.99110546
287.3610561,66.07369759
287.3680968,71.15628971
287.3786579,76.23888183
287.3874587,80.30495553
287.3988999,85.38754765
287.4094609,92.50317662
287.4156216,94.53621347
287.4253025,98.60228717
287.4305831,99.61880559
287.440264,105.7179161
287.4543454,110.8005083
287.4631463,113.8500635
287.4675468,115.8831004
287.4807481,119.9491741
287.489549,122.9987294
287.5009901,126.0482846
287.5106711,130.1143583
287.5221122,134.180432
287.5309131,136.2134689
287.539714,140.2795426
287.5511551,143.3290978
287.5625963,147.3951715
287.5713971,152.4777637
287.5810781,154.5108005
287.5907591,159.5933926
287.59956,161.6264295
287.6066007,164.6759848
287.6127613,168.7420584
287.6206821,169.7585769
287.6294829,174.841169
287.6382838,177.8907243
287.6514851,183.9898348
287.6594059,190.0889454
287.6682068,192.1219822
287.6726073,196.1880559
287.6805281,199.2376112
287.6919692,203.3036849
287.7034103,209.4027954
287.7113311,214.4853875
287.7227723,220.5844981
287.7271727,223.6340534
287.7342134,230.7496823
287.7438944,234.815756
287.7588559,243.9644219
287.7685369,252.0965693
287.770297,255.1461245
287.7746975,259.2121982
287.7773377,264.2947903
287.779978,266.3278272
287.7914191,279.5425667
287.8019802,295.8068615
287.8055006,303.9390089
287.809901,311.0546379
287.8160616,320.2033037
287.8213421,331.3850064
287.8266227,340.5336722
287.8371837,356.2897078
287.8380638,356.797967
287.8389439,358.3227446
287.8389439,359.8475222
287.839824,359.8475222
287.8407041,360.8640407
287.8415842,362.8970775
287.8424642,363.9135959
287.8433443,364.9301144
287.8442244,366.454892
287.8451045,367.9796696
287.8459846,368.9961881
287.8468647,370.0127065
287.8477448,371.0292249
287.8486249,372.0457433
287.849505,373.0622618
287.850385,374.0787802
287.8512651,375.0952986
287.8512651,373.0622618
287.8521452,376.111817
287.8530253,377.1283355
287.8539054,378.1448539
287.8547855,379.1613723
287.8556656,380.6861499
287.8565457,381.7026684
287.8574257,382.7191868
287.8583058,383.7357052
287.8591859,384.7522236
287.860066,385.7687421
287.8609461,386.7852605
287.8618262,387.2935197
287.8627063,388.3100381
287.8635864,388.8182973
287.8644664,389.8348158
287.8653465,390.8513342
287.8662266,391.3595934
287.8671067,392.3761118
287.8679868,392.884371
287.8688669,393.9008895
287.869747,394.9174079
287.8706271,395.4256671
287.8715072,396.4421855
287.8723872,396.9504447
287.8732673,397.9669632
287.8741474,398.9834816
287.8750275,399.4917408
287.8759076,400.5082592
287.8767877,401.0165184
287.8776678,402.0330368
287.8785479,403.0495553
287.8794279,403.5578145
287.880308,404.5743329
287.8811881,405.5908513
287.8820682,406.0991105
287.8829483,407.115629
287.8838284,408.1321474
287.8847085,409.1486658
287.8855886,410.1651842
287.8864686,410.6734435
287.8873487,411.6899619
287.8882288,412.7064803
287.8891089,413.2147395
287.889989,414.2312579
287.8908691,415.2477764
287.8917492,416.2642948
287.8926293,416.772554
287.8935094,417.7890724
287.8943894,418.8055909
287.8952695,419.3138501
287.8961496,420.3303685
287.8970297,421.3468869
287.8979098,422.3634053
287.8987899,423.3799238
287.89967,423.888183
287.9005501,424.9047014
287.9014301,425.9212198
287.9023102,426.429479
287.9031903,427.4459975
287.9040704,428.4625159
287.9049505,429.4790343
287.9058306,429.9872935
287.9067107,431.0038119
287.9075908,432.0203304
287.9084708,432.5285896
287.9093509,433.545108
287.910231,434.5616264
287.9111111,435.5781449
287.9119912,436.0864041
287.9128713,437.1029225
287.9137514,438.1194409
287.9146315,438.6277001
287.9155116,439.6442186
287.9163916,440.660737
287.9172717,441.6772554
287.9181518,442.1855146
287.9190319,443.202033
287.919912,444.2185515
287.9207921,445.2350699
287.9216722,446.2515883
287.9225523,446.7598475
287.9234323,447.7763659
287.9243124,448.7928844
287.9251925,449.8094028
287.9260726,450.8259212
287.9269527,451.8424396
287.9278328,452.3506989
287.9287129,453.3672173
287.929593,454.3837357
287.930473,455.4002541
287.9313531,456.4167726
287.9322332,457.433291
287.9331133,457.9415502
287.9339934,458.9580686
287.9348735,459.974587
287.9357536,460.9911055
287.9366337,462.0076239
287.9375138,463.0241423
287.9383938,464.0406607
287.9392739,464.5489199
287.940154,465.5654384
287.9410341,466.5819568
287.9419142,467.5984752
287.9427943,468.6149936
287.9436744,469.6315121
287.9445545,470.6480305
287.9454345,471.1562897
287.9463146,472.1728081
287.9471947,473.1893266
287.9480748,474.205845
287.9489549,475.2223634
287.949835,476.2388818
287.9507151,477.2554003
287.9515952,478.2719187
287.9524752,478.7801779
287.9533553,480.3049555
287.9542354,481.321474
287.9551155,482.3379924
287.9559956,483.3545108
287.9568757,484.3710292
287.9577558,485.3875476
287.9586359,486.4040661
287.959516,487.9288437
287.960396,488.9453621
287.9612761,489.9618806
287.9621562,490.978399
287.9630363,491.9949174
287.9639164,493.0114358
287.9647965,494.0279543
287.9656766,495.0444727
287.9665567,496.0609911
287.9674367,497.0775095
287.9683168,498.6022872
287.9691969,500.1270648
287.970077,502.1601017
287.9709571,503.1766201
287.9718372,505.2096569
287.9727173,506.2261753
287.9735974,508.2592122
287.9744774,509.2757306
287.9753575,511.3087675
287.9762376,512.3252859
287.9771177,514.3583227
287.9779978,515.8831004
287.9832783,526.5565438
287.9876788,537.7382465
287.990319,552.9860229
287.9911991,569.2503177
287.9938394,659.7204574
287.9938394,604.8284625
287.9938394,585.5146125
287.9947195,675.9847522
287.9947195,640.4066074
287.9947195,624.1423126
287.9955996,750.1905972
287.9955996,737.9923761
287.9955996,719.6950445
287.9955996,708.5133418
287.9955996,693.2655654
