"u12/u*2,FOAM,u2/u*",z/h
0.025586354,0.001702611
0.426439232,0.005107832
0.614072495,0.001702611
0.818763326,0.005107832
0.997867804,0.005107832
1.202558635,0.006810443
1.364605544,0.006810443
1.569296375,0.006810443
1.808102345,0.006810443
2.012793177,0.010215664
2.200426439,0.010215664
2.541577825,0.011918275
2.891257996,0.013620885
3.172707889,0.018728717
3.326226013,1.498297389
3.385927505,1.484676504
3.437100213,0.018728717
3.471215352,1.464245176
3.547974414,1.442111237
3.624733475,0.020431328
3.650319829,1.419977299
3.744136461,1.39784336
3.786780384,0.023836549
3.846481876,1.3723042
3.957356077,1.350170261
3.957356077,0.023836549
4.059701493,1.326333712
4.102345416,1.314415437
4.102345416,0.023836549
4.153518124,1.300794552
4.179104478,0.248581158
4.23880597,0.027241771
4.247334755,0.221339387
4.255863539,1.278660613
4.324093817,0.274120318
4.341151386,1.254824064
4.341151386,0.190692395
4.375266525,0.027241771
4.409381663,1.237797957
4.469083156,0.173666288
4.486140725,0.291146425
4.49466951,1.222474461
4.537313433,0.306469921
4.537313433,0.02553916
4.554371002,0.156640182
4.588486141,1.205448354
4.614072495,0.308172531
4.639658849,0.148127128
4.673773987,0.02553916
4.707889126,1.185017026
4.73347548,0.316685585
4.73347548,0.136208854
4.793176972,0.05107832
4.801705757,1.164585698
4.801705757,0.33030647
4.801705757,0.114074915
4.835820896,0.064699205
4.869936034,0.098751419
4.921108742,0.080022701
4.938166311,1.145856981
4.963752665,0.342224745
5.057569296,1.123723042
5.125799574,0.359250851
5.151385928,1.110102157
5.245202559,0.384790011
5.287846482,1.089670829
5.381663113,0.400113507
5.415778252,1.070942111
5.458422175,0.418842225
5.518123667,1.053916005
5.535181237,0.439273553
5.611940299,1.038592509
5.654584222,0.454597049
5.722814499,1.024971623
5.748400853,0.468217934
5.773987207,1.009648127
5.884861407,0.99091941
5.92750533,0.492054484
6.029850746,0.972190692
6.098081023,0.522701476
6.123667377,0.953461975
6.226012793,0.93984109
6.277185501,0.546538025
6.336886994,0.921112372
6.379530917,0.568671964
6.456289979,0.900681044
6.541577825,0.876844495
6.558635394,0.590805902
6.626865672,0.854710556
6.67803838,0.612939841
6.729211087,0.834279228
6.797441365,0.633371169
6.823027719,0.812145289
6.865671642,0.66061294
6.891257996,0.795119183
6.942430704,0.675936436
6.976545842,0.769580023
6.985074627,0.698070375
7.002132196,0.723609535
7.036247335,0.744040863
