Drection,Z
degrees,m
-6.837708831,672.1763085
-6.837708831,625.8953168
-6.837708831,603.8567493
-6.837708831,582.9201102
-6.778042959,748.2093664
-6.778042959,733.8842975
-6.778042959,719.5592287
-6.778042959,567.4931129
-6.658711217,542.1487603
-6.241050119,496.969697
-5.942720764,488.15427
-5.942720764,483.7465565
-5.823389021,478.2369146
-5.644391408,472.7272727
-5.525059666,472.7272727
-5.286396181,465.0137741
-4.928400955,456.1983471
-4.212410501,436.3636364
-3.675417661,418.7327824
-3.07875895,409.9173554
-2.661097852,395.5922865
-2.064439141,381.2672176
-1.527446301,364.738292
-0.871121718,339.3939394
-0.513126492,327.2727273
-0.453460621,326.1707989
-0.393794749,324.5179063
-0.334128878,322.3140496
-0.274463007,320.1101928
-0.214797136,317.9063361
-0.155131265,315.7024793
-0.095465394,312.9476584
-0.035799523,310.7438017
0.023866348,307.9889807
0.08353222,305.2341598
0.143198091,301.9283747
0.202863962,299.1735537
0.262529833,296.4187328
0.322195704,293.1129477
0.381861575,290.9090909
0.441527446,288.15427
0.501193317,285.9504132
0.560859189,283.7465565
0.62052506,281.5426997
0.680190931,279.338843
0.739856802,277.1349862
0.799522673,274.9311295
0.859188544,272.7272727
0.918854415,271.0743802
0.978520286,268.8705234
1.038186158,267.2176309
1.097852029,265.5647383
1.1575179,263.9118457
1.217183771,262.2589532
1.276849642,260.0550964
1.336515513,258.4022039
1.396181384,256.7493113
1.455847255,255.0964187
1.515513126,253.4435262
1.575178998,252.3415978
1.634844869,251.2396694
1.69451074,250.137741
1.754176611,249.5867769
1.813842482,248.4848485
1.873508353,247.3829201
1.933174224,246.2809917
1.992840095,245.1790634
2.052505967,244.6280992
2.112171838,243.5261708
2.171837709,242.4242424
2.23150358,241.322314
2.291169451,240.7713499
2.350835322,239.6694215
2.410501193,238.5674931
2.470167064,237.4655647
2.529832936,236.3636364
2.589498807,235.8126722
2.649164678,234.7107438
2.708830549,234.1597796
2.76849642,233.0578512
2.828162291,233.0578512
2.887828162,231.9559229
2.947494033,231.4049587
3.007159905,230.8539945
3.066825776,229.7520661
3.126491647,229.7520661
3.186157518,228.6501377
3.245823389,228.0991736
3.30548926,227.5482094
3.365155131,226.446281
3.424821002,226.446281
3.484486874,225.3443526
3.544152745,224.7933884
3.603818616,224.2424242
3.663484487,223.1404959
3.723150358,223.1404959
3.782816229,222.0385675
3.8424821,220.9366391
3.902147971,220.9366391
3.961813842,219.8347107
4.021479714,219.8347107
4.081145585,218.7327824
4.140811456,217.630854
4.200477327,217.630854
4.260143198,216.5289256
4.319809069,216.5289256
4.37947494,215.4269972
4.439140811,214.8760331
4.498806683,214.3250689
4.558472554,213.2231405
4.618138425,213.2231405
4.677804296,212.1212121
4.737470167,212.1212121
4.797136038,211.0192837
4.856801909,211.0192837
4.91646778,209.9173554
4.976133652,209.9173554
5.035799523,208.815427
5.095465394,208.815427
5.155131265,207.7134986
5.214797136,207.1625344
5.274463007,206.6115702
5.334128878,205.5096419
5.393794749,205.5096419
5.453460621,204.4077135
5.513126492,204.4077135
5.572792363,203.3057851
5.632458234,203.3057851
5.692124105,202.2038567
5.751789976,202.2038567
5.811455847,201.1019284
5.871121718,201.1019284
5.930787589,200
5.990453461,199.4490358
6.050119332,198.8980716
6.109785203,197.7961433
6.169451074,197.7961433
6.229116945,196.6942149
6.288782816,196.6942149
6.348448687,195.5922865
6.408114558,195.5922865
6.46778043,194.4903581
6.527446301,193.9393939
6.587112172,193.3884298
6.646778043,192.8374656
6.706443914,192.2865014
6.766109785,191.184573
6.825775656,191.184573
6.885441527,190.0826446
