"?m, theoretical value",z/h
1.007462687,0.002493766
1.05010661,0.007481297
1.092750533,0.014962594
1.156716418,0.024937656
1.220682303,0.03117207
1.279317697,0.038653367
1.327292111,0.047381546
1.391257996,0.05361596
1.455223881,0.061097257
1.513859275,0.071072319
1.58315565,0.078553616
1.673773987,0.089775561
1.769722814,0.100997506
1.849680171,0.113466334
1.918976546,0.125935162
2.009594883,0.134663342
2.036247335,0.139650873
2.10554371,0.150872818
2.169509595,0.157107232
2.23347548,0.168329177
2.302771855,0.175810474
2.356076759,0.182044888
2.436034115,0.190773067
2.50533049,0.201995012
2.574626866,0.210723192
2.649253731,0.219451372
2.729211087,0.230673317
2.803837953,0.243142145
2.89445629,0.251870324
2.937100213,0.260598504
3.049040512,0.274314214
3.128997868,0.288029925
3.198294243,0.295511222
3.272921109,0.305486284
3.368869936,0.316708229
3.480810235,0.334164589
3.576759062,0.345386534
3.672707889,0.360349127
3.736673774,0.37032419
3.81130064,0.380299252
3.896588486,0.39276808
3.987206823,0.399002494
4.093816631,0.41521197
4.141791045,0.422693267
4.21108742,0.430174564
4.301705757,0.441396509
4.376332623,0.455112219
4.445628998,0.462593516
4.514925373,0.475062344
4.562899787,0.478802993
4.648187633,0.490024938
4.712153518,0.495012469
4.765458422,0.506234414
4.824093817,0.509975062
4.87206823,0.518703242
4.914712154,0.528678304
4.984008529,0.536159601
